jeu_200_75_5.txt_3_bestACOPerIt	jeu_200_75_5.txt_3_antsMeanACO	
0	182623	178154	
1	182915	182610	
2	182915	182740	
3	182915	182740	
4	182915	182857	
5	182915	182857	
6	182915	182915	
7	185824	183497	
8	185824	183497	
9	188058	185565	
10	188243	186049	
11	188058	185565	
12	188243	186971	
13	188243	185884	
14	188243	185956	
15	188520	186639	
16	188520	187691	
17	188520	187815	
18	188520	187925	
19	188520	187925	
20	188520	187542	
21	188520	187458	
22	188520	188030	
23	188520	188520	
24	188520	188520	
25	188520	188520	
26	188520	188520	
27	188520	188520	
28	188520	187867	
29	191079	189032	
30	191637	189078	
31	191637	189420	
32	191637	188987	
33	191637	189051	
34	191637	190902	
35	191637	191014	
36	191637	191014	
37	191637	191637	
38	191637	191637	
39	191637	191459	
40	191637	191459	
41	191637	191459	
42	191637	191040	
43	191637	191009	
44	191637	190919	
45	192850	191880	
46	192850	191287	
47	192850	190247	
48	192850	191128	
49	193505	190405	
50	193505	191761	
51	193505	191731	
52	193505	192190	
53	193505	192452	
54	193505	191575	
55	193505	193049	
56	193505	193423	
57	193505	193290	
58	193505	191132	
59	193505	192499	
60	193505	193091	
61	193505	193445	
62	193505	192803	
63	193505	193421	
64	193505	193505	
65	193505	192937	
66	193505	192385	
67	193505	193505	
68	193505	193104	
69	193505	192377	
70	193505	193505	
71	193505	192385	
72	193505	193505	
73	193505	193505	
74	193505	192988	
75	193505	193505	
76	195943	193993	
77	195943	193614	
78	195943	193138	
79	195943	191240	
80	195943	193626	
81	195943	194506	
82	195943	195082	
83	195943	195943	
84	195943	195943	
85	195943	195943	
86	195943	195943	
87	195943	195943	
88	195943	195943	
89	195943	195943	
90	195943	195943	
91	195943	195943	
92	195943	195082	
93	195943	194979	
94	195943	195360	
95	195943	194922	
96	195943	195082	
97	195943	195042	
98	195943	195082	
99	195943	195082	
100	196077	195970	
101	198231	196427	
102	196077	195225	
103	198734	196604	
104	198734	195914	
105	198424	196567	
106	198734	197132	
107	201106	197609	
108	201106	197489	
109	199463	196106	
110	199463	196106	
Column 7: 110
Column 8: 110
jeu_200_75_5.txt_3_bestACOPerIt	jeu_200_75_5.txt_3_antsMeanACO	
0	180693	176046	
1	180693	180693	
2	180693	180693	
3	180693	180693	
4	180693	180693	
5	180693	180693	
6	180693	180693	
7	180693	180693	
8	180693	180693	
9	180693	180693	
10	180693	180693	
11	180693	180693	
12	180693	180693	
13	180693	180693	
14	180693	180693	
15	180693	180693	
16	180693	180693	
17	180693	180693	
18	180693	180693	
19	180693	180693	
20	180693	180693	
21	180693	180693	
22	180693	180693	
23	180693	180693	
24	180693	180693	
25	180693	180693	
26	180693	180693	
27	180693	180693	
28	180693	180693	
29	180693	180693	
30	180693	180693	
31	180693	180693	
32	180693	180693	
33	180693	180693	
34	180693	180693	
35	180693	180693	
36	180693	180693	
37	180693	180693	
38	180693	180693	
39	180693	180693	
40	180693	180693	
41	180693	180693	
42	180693	180693	
43	180693	180693	
44	180693	180693	
45	180693	180693	
46	180693	180693	
47	180693	180693	
48	180693	180693	
49	180693	180693	
50	180693	180693	
51	180693	180693	
52	180693	180693	
53	180693	180693	
54	180693	180693	
55	180693	180693	
56	180693	180693	
57	180693	180693	
58	180693	180693	
59	180693	180693	
60	180693	180693	
61	180693	180693	
62	180693	180693	
63	180693	180693	
64	180693	180693	
65	180693	180693	
66	180693	180693	
67	180693	180693	
68	180693	180693	
69	180693	180693	
70	180693	180693	
71	180693	180693	
72	180693	180693	
73	180693	180693	
74	180693	180693	
75	180693	180693	
76	180693	180693	
77	180693	180693	
78	180693	180693	
79	180693	180693	
80	180693	180693	
81	180693	180693	
82	180693	180693	
83	180693	180693	
84	180693	180693	
85	180693	180693	
86	180693	180693	
87	180693	180693	
88	180693	180693	
89	180693	180693	
90	180693	180693	
91	180693	180693	
92	180693	180693	
93	180693	180693	
94	180693	180693	
Column 7: 94
Column 8: 94
