jeu_200_25_8.txt_5_bestACOPerIt	jeu_200_25_8.txt_5_antsMeanACO	
0	40830	39470	
1	41147	40870.4	
2	41804	41194.2	
3	41989	41444.6	
4	41989	41551.8	
5	41989	41746.6	
6	42026	41816.6	
7	42026	41866	
8	42026	41877.2	
9	42026	41900.2	
10	42026	41941.6	
11	42026	42026	
12	42026	42026	
13	42026	42026	
14	42059	42032.6	
15	42059	41986.8	
16	42026	41717.2	
17	42026	41768.4	
18	42059	41945	
19	42059	42052.4	
20	42059	42059	
21	42059	42059	
22	42059	42059	
23	42059	42059	
24	42059	41983.6	
25	42059	42028	
26	42059	42059	
27	42059	41889.4	
28	42059	42059	
29	42059	42059	
30	42059	42059	
31	42059	42059	
32	42059	42059	
33	42059	41982.2	
34	42059	42004.4	
35	42059	42059	
36	42059	42059	
37	42059	42059	
38	42059	42036.2	
39	42059	42059	
40	42059	42059	
41	42059	42059	
42	42059	42059	
43	42059	42059	
44	42059	42059	
45	42059	42059	
46	42059	42059	
47	42059	42059	
48	42059	42059	
49	42059	41972	
50	42059	42059	
51	42059	42059	
52	42059	42059	
53	42059	42059	
54	42059	42009.4	
55	42059	42028	
56	42059	42036.2	
57	42059	42036.2	
58	42059	42059	
59	42059	42059	
60	42059	42059	
61	42059	42059	
62	42059	42059	
63	42059	42059	
64	42059	42059	
65	42059	42059	
66	42059	42059	
67	42059	41833	
68	42059	42059	
69	42059	41967.4	
70	42059	41967.4	
71	42059	42059	
72	42059	42059	
73	42059	42059	
74	42059	42059	
75	42059	42059	
76	42059	42059	
Column 7: 76
Column 8: 76
jeu_200_25_8.txt_5_bestACOPerIt	jeu_200_25_8.txt_5_antsMeanACO	
0	40544	39804.8	
1	42147	40739.4	
2	42147	41011	
3	42204	41810	
4	42204	41978.4	
5	42204	42192.6	
6	42204	42192.6	
7	42204	42192.6	
8	42204	42181.2	
9	42204	42181.2	
10	42204	42181.2	
11	42204	42192.6	
12	42204	42204	
13	42204	42204	
14	42204	42204	
15	42204	42204	
16	42204	42204	
17	42204	42204	
18	42204	42204	
19	42204	42204	
20	42204	42204	
21	42204	42204	
22	42204	42204	
23	42204	42204	
24	42204	42204	
25	42204	42204	
26	42204	42204	
27	42410	42245.2	
28	42519	42308.2	
29	42519	42308.2	
30	42519	42308.2	
31	42519	42379.8	
32	42519	42379.8	
33	42563	42506	
34	42616	42429.6	
35	42616	42534.8	
36	42616	42534.2	
37	42616	42556.4	
38	42616	42517.2	
39	42616	42517.2	
40	42616	42575.8	
41	42616	42605.4	
42	42732	42639.2	
43	42732	42609.6	
44	42732	42625.8	
45	42732	42591.6	
46	42732	42527	
47	42732	42695.6	
48	42732	42652.2	
49	42732	42688.4	
50	42848	42744.6	
51	43166	42858.6	
52	43166	42824.8	
53	43166	42849	
54	43166	42840.4	
55	43166	42841	
56	43166	42984.4	
57	43166	43051.8	
58	43166	43033	
59	43166	43114.6	
60	43166	43111.6	
61	43235	43125.4	
62	43235	43033.8	
63	43235	42977.8	
64	43235	42957	
65	43235	43158.2	
66	43235	43091.4	
67	43235	43207.4	
68	43235	43204	
69	43235	43235	
70	43235	43235	
71	43235	43185	
72	43235	43185	
73	43235	43222.4	
74	43235	43174.8	
75	43235	43235	
76	43235	43213.2	
77	43235	43213.2	
78	43235	43204	
79	43235	43204	
Column 7: 79
Column 8: 79
