jeu_100_75_2.txt_5_bestACOPerIt	jeu_100_75_2.txt_5_antsMeanACO	
0	32421	31308.8	
1	33630	32662.8	
2	33630	32662.8	
3	33630	32662.8	
4	33630	33388.2	
5	33630	33388.2	
6	33630	33388.2	
7	33630	33630	
8	33630	33630	
9	33630	33630	
10	33630	33630	
11	33630	33630	
12	33630	33630	
13	33630	33630	
14	33630	33630	
15	33630	33630	
16	33630	33630	
17	33630	33630	
18	33630	33630	
19	33630	33630	
20	33630	33630	
21	33630	33630	
22	33630	33630	
23	33630	33630	
24	33630	33630	
25	33630	33630	
26	33630	33630	
27	33630	33630	
28	33630	33630	
29	33630	33630	
30	33630	33630	
31	33630	33630	
32	33630	33630	
33	33630	33630	
34	33630	33630	
35	33630	33630	
36	33630	33630	
37	33630	33630	
38	33630	33630	
39	33630	33630	
40	33630	33630	
41	33630	33630	
42	33630	33630	
43	33630	33630	
44	33630	33630	
45	33630	33630	
46	33630	33630	
47	33630	33630	
48	33630	33630	
49	33630	33630	
50	33630	33630	
51	33630	33630	
52	33630	33630	
53	33630	33630	
54	33630	33630	
55	33630	33630	
56	33630	33630	
57	33630	33630	
58	33630	33630	
59	33630	33630	
60	33630	33630	
61	33630	33630	
62	33630	33630	
63	33630	33630	
64	33630	33388.2	
65	33630	33388.2	
66	33630	33388.2	
67	33630	33630	
68	33630	33630	
69	33630	33630	
70	33630	33630	
71	33630	33630	
72	33630	33630	
73	33630	33630	
74	33630	33630	
75	33630	33630	
76	33630	33630	
77	33630	33388.2	
78	33630	33630	
79	33630	33388.2	
80	33630	33630	
81	33630	33630	
82	33630	33630	
83	33630	33630	
84	33630	33630	
85	33630	33630	
86	33630	33630	
87	33630	33630	
88	33630	33630	
89	33630	33630	
90	33630	33630	
91	33630	33630	
92	33630	33630	
93	33630	33630	
94	33630	33630	
95	33630	33630	
96	33630	33630	
97	33630	33630	
98	33630	33630	
99	33630	33630	
100	33630	33630	
101	33630	33630	
102	33630	33630	
103	33630	33630	
104	33630	33630	
105	33630	33376.4	
106	33630	33630	
107	33630	33630	
108	33630	33630	
109	33630	33630	
110	33630	33630	
111	33630	33630	
112	33630	33630	
113	33630	33630	
114	33630	33630	
115	33630	33630	
116	33630	33630	
117	33630	33630	
118	33630	33630	
119	33630	33630	
120	33630	33630	
121	33630	33630	
122	33630	33630	
123	33630	33630	
124	33630	33630	
125	33630	33630	
126	33630	33630	
127	33630	33630	
128	33630	33630	
129	33630	33630	
130	33630	33630	
131	33630	33630	
132	33630	33630	
133	33630	33630	
134	33630	33630	
135	33630	33630	
136	33630	33630	
137	33630	33630	
138	33630	33630	
139	33630	33630	
140	33630	33630	
141	33630	33630	
142	33630	33630	
143	33630	33630	
144	33630	33630	
145	33630	33630	
146	33630	33630	
147	33630	33630	
148	33630	33630	
149	33630	33630	
150	33630	33630	
151	33630	33630	
152	33630	33630	
153	33630	33630	
154	33630	33630	
155	33630	33630	
156	33630	33630	
157	33630	33630	
158	33630	33630	
159	33630	33630	
160	33630	33630	
161	33630	33630	
162	33630	33630	
163	33630	33630	
164	33630	33630	
165	33630	33630	
166	33630	33630	
167	33630	33630	
168	33630	33630	
169	33630	33630	
170	33630	33630	
171	33630	33630	
172	33630	33630	
173	33630	33630	
174	33630	33630	
175	33630	33630	
176	33630	33630	
177	33630	33630	
178	33630	33630	
179	33630	33630	
180	33630	33630	
181	33630	33630	
182	33630	33630	
183	33630	33630	
184	33630	33630	
185	33630	33630	
186	33630	33630	
187	33630	33630	
188	33630	33630	
189	33630	33630	
190	33630	33630	
191	33630	33630	
192	33630	33630	
193	33630	33630	
194	33630	33630	
195	33630	33630	
196	33630	33630	
197	33630	33630	
198	33630	33630	
199	33630	33630	
200	33630	33630	
201	33630	33630	
202	33630	33630	
203	33630	33630	
204	33630	33630	
205	33630	33630	
206	33630	33630	
207	33630	33630	
208	33630	33630	
209	33630	33630	
210	33630	33630	
211	33630	33630	
212	33630	33630	
213	33630	33630	
214	33630	33630	
215	33630	33630	
216	33630	33630	
217	33630	33630	
218	33630	33630	
219	33630	33630	
220	33630	33630	
221	33630	33630	
222	33630	33630	
223	33630	33630	
224	33630	33630	
225	33630	33630	
226	33630	33630	
227	33630	33630	
228	33630	33630	
229	33630	33630	
230	33630	33630	
231	33630	33630	
232	33630	33630	
233	33630	33630	
234	33630	33630	
235	33630	33630	
236	33630	33630	
237	33630	33630	
238	33630	33630	
239	33630	33630	
240	33630	33630	
241	33630	33630	
242	33630	33630	
243	33630	33630	
244	33630	33630	
245	33630	33630	
246	33630	33630	
247	33630	33630	
248	33630	33630	
249	33630	33630	
250	33630	33630	
251	33630	33630	
252	33630	33630	
253	33630	33630	
254	33630	33630	
255	33630	33630	
256	33630	33483.8	
257	33630	33630	
258	33630	33630	
259	33630	33630	
260	33630	33630	
261	33630	33630	
262	33630	33630	
263	33630	33630	
264	33630	33630	
265	33630	33630	
266	33630	33630	
267	33630	33630	
268	33630	33630	
269	33630	33630	
270	33630	33630	
271	33630	33630	
272	33630	33630	
273	33630	33630	
274	33630	33630	
275	33630	33630	
276	33630	33630	
277	33630	33630	
278	33630	33630	
279	33630	33630	
280	33630	33630	
281	33630	33630	
282	33630	33630	
283	33630	33630	
284	33630	33630	
285	33630	33630	
286	33630	33630	
287	33630	33630	
Column 7: 287
Column 8: 287
