jeu_200_25_8.txt_3_bestACOPerIt	jeu_200_25_8.txt_3_antsMeanACO	
0	62900	60243.6	
1	64376	63065	
2	64925	64397.8	
3	66660	65192.6	
4	66732	66084.8	
5	67405	66810.6	
6	68080	66660	
7	68095	67667	
8	68228	67179	
9	68276	67311.4	
10	68131	67734	
11	68276	67994.6	
12	68276	67369.4	
13	68530	67884.8	
14	68530	68200.8	
15	68399	68014.2	
16	68530	68132.4	
17	68530	68156.2	
18	68530	68019.4	
19	68530	68210.6	
20	68530	68349.6	
21	68668	68016.2	
22	68912	68388	
23	69057	68785	
24	69069	68116	
25	69057	68839	
26	69048	68341.4	
27	69070	68409.4	
28	69070	68535.6	
29	68980	68535.6	
30	69142	68555.8	
31	68857	68287.6	
32	69070	68294.2	
33	69226	68688.4	
34	68580	68132	
35	69729	68746.6	
36	68896	68288.8	
37	69026	68365.6	
38	69053	68178.4	
39	69729	69205.6	
40	69729	68988.6	
41	69729	69223.8	
42	69891	69190.4	
43	69891	69371.8	
44	69038	68259.4	
45	69834	69050.2	
46	69891	69602.6	
47	69891	69856.8	
48	69891	69635	
49	69891	69626.2	
50	69891	69475.4	
51	69891	69621.6	
52	70002	69775.2	
53	70020	68956	
54	69838	69173.4	
55	70240	69509	
56	70240	69346.4	
57	70263	69749.4	
58	70263	69773.2	
59	70423	69402.8	
60	70423	69559.2	
61	70448	70134	
62	70423	69874.2	
63	70423	69943	
64	70448	70277.2	
65	70448	69580.4	
66	70448	70066.2	
67	70448	69757.4	
68	70448	70357.6	
69	70448	69678.6	
70	70448	69897.2	
71	70448	70448	
72	70448	70061.8	
73	70448	69745.2	
74	70448	70011	
75	70448	69534.4	
76	70448	69995.6	
77	70448	70448	
78	70448	70240.2	
79	70448	70065.6	
80	70448	70110	
81	70448	70380	
82	70448	70246	
83	70538	70439.2	
84	70538	69974.8	
85	70448	69829.2	
86	70538	70048.6	
87	70087	69633.4	
88	70538	70063.4	
89	70603	70117.6	
90	70538	70059.8	
91	70603	69959.2	
92	70406	69927.2	
93	70603	70040.8	
94	70603	70352.6	
95	70713	70612	
96	70660	70278.8	
97	70713	70005.2	
98	70713	70005.2	
Column 7: 98
Column 8: 98
jeu_200_25_8.txt_3_bestACOPerIt	jeu_200_25_8.txt_3_antsMeanACO	
0	63482	61664.6	
1	63482	63482	
2	63482	63482	
3	63482	63482	
4	63482	63482	
5	63482	63482	
6	63482	63482	
7	63482	63482	
8	63482	63482	
9	63482	63482	
10	63482	63482	
11	63482	63482	
12	63482	63482	
13	63482	63482	
14	63482	63482	
15	63482	63482	
16	63482	63482	
17	63482	63482	
18	63482	63482	
19	63482	63482	
20	63482	63482	
21	63482	63482	
22	63482	63482	
23	63482	63482	
24	63482	63482	
25	63482	63482	
26	63482	63482	
27	63482	63482	
28	63482	63482	
29	63482	63482	
30	63482	63482	
31	63482	63482	
32	63482	63482	
33	63482	63482	
34	63482	63482	
35	63482	63482	
36	63482	63482	
37	63482	63482	
38	63482	63482	
39	63482	63482	
40	63482	63482	
41	63482	63482	
42	63482	63482	
43	63482	63482	
44	63482	63482	
45	63482	63482	
46	63482	63482	
47	63482	63482	
48	63482	63482	
49	63482	63482	
50	63482	63482	
51	63482	63482	
52	63482	63482	
53	63482	63482	
54	63482	63482	
55	63482	63482	
56	63482	63482	
57	63482	63482	
58	63482	63482	
59	63482	63482	
60	63482	63482	
61	63482	63482	
62	63482	63482	
63	63482	63482	
64	63482	63482	
65	63482	63482	
66	63482	63482	
67	63482	63482	
68	63482	63482	
69	63482	63482	
70	63482	63482	
71	63482	63482	
72	63482	63482	
73	63482	63482	
74	63482	63482	
75	63482	63482	
76	63482	63482	
77	63482	63482	
78	63482	63482	
79	63482	63482	
80	63482	63482	
81	63482	63482	
82	63482	63482	
83	63482	63482	
84	63482	63482	
Column 7: 84
Column 8: 84
