jeu_200_75_5.txt_3_currentGA	jeu_200_75_5.txt_3_bestGA	
0	-168.733	-168.733	
1	-120.733	-120.733	
2	-97.7333	-97.7333	
3	-32.7333	-32.7333	
4	147804	147804	
5	-17.7333	147804	
6	-23.7333	147804	
7	-61.7333	147804	
8	-213.733	147804	
9	130224	147804	
10	-148.733	147804	
11	-41.7333	147804	
12	-148.733	147804	
13	-33.7333	147804	
14	133686	147804	
15	-42.7333	147804	
16	144428	147804	
17	150645	150645	
18	156197	156197	
19	-82.7333	156197	
20	-273.733	156197	
21	-61.7333	156197	
22	128932	156197	
23	-193.733	156197	
24	-201.733	156197	
25	-365.733	156197	
26	-142.733	156197	
27	-230.733	156197	
28	142547	156197	
29	-30.7333	156197	
30	-111.733	156197	
31	-75.7333	156197	
32	-254.733	156197	
33	-77.7333	156197	
34	-145.733	156197	
35	-98.7333	156197	
36	-12.7333	156197	
37	-28.7333	156197	
38	126987	156197	
39	-129.733	156197	
40	-136.733	156197	
41	-121.733	156197	
42	151044	156197	
43	128647	156197	
44	-5.73333	156197	
45	-28.7333	156197	
46	-324.733	156197	
47	130055	156197	
48	-165.733	156197	
49	131411	156197	
50	129140	156197	
51	124862	156197	
52	125856	156197	
53	-117.733	156197	
54	-82.7333	156197	
55	-70.7333	156197	
56	-71.7333	156197	
57	139841	156197	
58	-241.733	156197	
59	-116.733	156197	
60	110864	156197	
61	-120.733	156197	
62	-38.7333	156197	
63	136336	156197	
64	-16.7333	156197	
65	140017	156197	
66	-435.733	156197	
67	144784	156197	
68	142877	156197	
69	-42.7333	156197	
70	136844	156197	
71	129337	156197	
72	144175	156197	
73	130851	156197	
74	-36.7333	156197	
75	152576	156197	
76	-121.733	156197	
77	133151	156197	
78	151878	156197	
79	-24.7333	156197	
80	130915	156197	
81	153783	156197	
82	-119.733	156197	
83	-220.733	156197	
84	-48.7333	156197	
85	-34.7333	156197	
86	-5.73333	156197	
87	140720	156197	
88	-211.733	156197	
89	143098	156197	
90	-30.7333	156197	
91	136608	156197	
92	-28.7333	156197	
93	-27.7333	156197	
94	121003	156197	
95	-116.733	156197	
96	127105	156197	
97	-118.733	156197	
98	129955	156197	
99	-35.7333	156197	
100	-15.7333	156197	
101	-111.733	156197	
102	-121.733	156197	
103	150624	156197	
104	-156.733	156197	
105	117593	156197	
106	-54.7333	156197	
107	138804	156197	
108	133439	156197	
109	-148.733	156197	
110	147873	156197	
111	-84.7333	156197	
112	-13.7333	156197	
113	126289	156197	
114	-122.733	156197	
115	-95.7333	156197	
116	143123	156197	
117	134295	156197	
118	-15.7333	156197	
119	135440	156197	
120	-51.7333	156197	
121	144175	156197	
122	135928	156197	
123	146334	156197	
124	134081	156197	
125	-34.7333	156197	
126	136654	156197	
127	126987	156197	
128	-33.7333	156197	
129	-46.7333	156197	
130	138804	156197	
131	140109	156197	
132	-13.7333	156197	
133	132379	156197	
134	-106.733	156197	
135	132323	156197	
136	-83.7333	156197	
137	137988	156197	
138	-101.733	156197	
139	-171.733	156197	
140	122804	156197	
141	131367	156197	
142	-48.7333	156197	
143	142129	156197	
144	-19.7333	156197	
145	139813	156197	
146	135888	156197	
147	-17.7333	156197	
148	-79.7333	156197	
149	133556	156197	
150	133622	156197	
151	-33.7333	156197	
152	-40.7333	156197	
153	-14.7333	156197	
154	142894	156197	
155	-62.7333	156197	
156	-61.7333	156197	
157	-106.733	156197	
158	-85.7333	156197	
159	130062	156197	
160	-5.73333	156197	
161	149672	156197	
162	-55.7333	156197	
163	-120.733	156197	
164	-54.7333	156197	
165	-67.7333	156197	
166	-140.733	156197	
167	130553	156197	
168	142897	156197	
169	-65.7333	156197	
170	-0.733333	156197	
171	135822	156197	
172	142505	156197	
173	-48.7333	156197	
174	-25.7333	156197	
175	141125	156197	
176	145629	156197	
177	132499	156197	
178	-3.73333	156197	
179	148249	156197	
180	139347	156197	
181	143622	156197	
182	140228	156197	
183	-66.7333	156197	
184	130607	156197	
185	-11.7333	156197	
186	-88.7333	156197	
187	138172	156197	
188	151397	156197	
189	155437	156197	
190	121594	156197	
191	-99.7333	156197	
192	132286	156197	
193	130165	156197	
194	-48.7333	156197	
195	136526	156197	
