jeu_100_75_2.txt_3_currentGA	jeu_100_75_2.txt_3_bestGA	
290	25833	39784	
291	-7.33333	39784	
292	32530	39784	
293	-79.3333	39784	
294	-11.3333	39784	
295	-61.3333	39784	
296	-52.3333	39784	
297	27210	39784	
298	-44.3333	39784	
299	31524	39784	
300	-62.3333	39784	
301	-87.3333	39784	
302	30452	39784	
303	29329	39784	
304	-32.3333	39784	
305	-40.3333	39784	
306	-11.3333	39784	
307	30789	39784	
308	-1.33333	39784	
309	-97.3333	39784	
310	26340	39784	
311	-40.3333	39784	
312	31195	39784	
313	32913	39784	
314	34571	39784	
315	33891	39784	
316	-50.3333	39784	
317	-132.333	39784	
318	-1.33333	39784	
319	-47.3333	39784	
320	32775	39784	
321	32915	39784	
322	-23.3333	39784	
323	-5.33333	39784	
324	-69.3333	39784	
325	27994	39784	
326	34592	39784	
327	-100.333	39784	
328	40803	40803	
329	-161.333	40803	
330	31257	40803	
331	29824	40803	
332	28710	40803	
333	-5.33333	40803	
334	-6.33333	40803	
335	-17.3333	40803	
336	24267	40803	
337	-123.333	40803	
338	-117.333	40803	
339	-129.333	40803	
340	-96.3333	40803	
341	30662	40803	
342	-34.3333	40803	
343	-48.3333	40803	
344	-1.33333	40803	
345	31956	40803	
346	-64.3333	40803	
347	-4.33333	40803	
348	-30.3333	40803	
349	31603	40803	
350	31388	40803	
351	-46.3333	40803	
352	-95.3333	40803	
353	30950	40803	
354	32162	40803	
355	-25.3333	40803	
356	-24.3333	40803	
357	-4.33333	40803	
358	-18.3333	40803	
359	30173	40803	
360	32131	40803	
361	-124.333	40803	
362	-8.33333	40803	
363	-113.333	40803	
364	33567	40803	
365	-108.333	40803	
366	34237	40803	
367	-44.3333	40803	
368	-24.3333	40803	
369	-60.3333	40803	
370	-85.3333	40803	
371	34833	40803	
372	-76.3333	40803	
373	32586	40803	
374	-161.333	40803	
375	32828	40803	
376	-33.3333	40803	
377	32778	40803	
378	28600	40803	
379	30494	40803	
380	31075	40803	
381	38734	40803	
382	33438	40803	
383	34284	40803	
384	-52.3333	40803	
385	-51.3333	40803	
386	28060	40803	
387	-132.333	40803	
388	26388	40803	
389	30803	40803	
390	30896	40803	
391	-75.3333	40803	
392	28565	40803	
393	26688	40803	
394	30486	40803	
395	-67.3333	40803	
396	30889	40803	
397	-39.3333	40803	
398	-61.3333	40803	
399	-168.333	40803	
400	-96.3333	40803	
401	-44.3333	40803	
402	-19.3333	40803	
403	-10.3333	40803	
404	35933	40803	
405	26228	40803	
406	35295	40803	
407	-28.3333	40803	
408	-33.3333	40803	
409	-72.3333	40803	
410	-16.3333	40803	
411	25355	40803	
412	33368	40803	
413	-140.333	40803	
414	31225	40803	
415	29976	40803	
416	-104.333	40803	
417	25845	40803	
418	-31.3333	40803	
419	-6.33333	40803	
420	-42.3333	40803	
421	35772	40803	
422	-70.3333	40803	
423	29735	40803	
424	34108	40803	
425	-44.3333	40803	
426	34662	40803	
427	-2.33333	40803	
428	28746	40803	
429	28640	40803	
430	37337	40803	
431	-57.3333	40803	
432	38744	40803	
433	31101	40803	
434	-48.3333	40803	
435	-22.3333	40803	
436	-71.3333	40803	
437	-36.3333	40803	
438	-12.3333	40803	
439	-22.3333	40803	
440	31210	40803	
441	33773	40803	
442	32061	40803	
443	32722	40803	
444	29350	40803	
445	28541	40803	
446	29664	40803	
447	31598	40803	
448	30129	40803	
449	30677	40803	
450	31746	40803	
451	29557	40803	
452	36074	40803	
453	32131	40803	
454	29528	40803	
455	28717	40803	
456	37648	40803	
457	26191	40803	
458	28501	40803	
459	40136	40803	
460	28829	40803	
461	-59.3333	40803	
462	33114	40803	
463	30321	40803	
464	34064	40803	
465	-32.3333	40803	
466	31297	40803	
467	35231	40803	
468	29729	40803	
469	25536	40803	
470	-24.3333	40803	
471	31560	40803	
472	-136.333	40803	
473	-84.3333	40803	
474	25820	40803	
475	-17.3333	40803	
476	32682	40803	
477	-73.3333	40803	
478	-121.333	40803	
479	25689	40803	
480	36720	40803	
481	32427	40803	
482	-75.3333	40803	
483	21530	40803	
484	33496	40803	
485	29972	40803	
486	31574	40803	
487	-115.333	40803	
488	-24.3333	40803	
489	31430	40803	
490	28899	40803	
491	-13.3333	40803	
492	-41.3333	40803	
493	31386	40803	
494	-65.3333	40803	
495	-110.333	40803	
496	26659	40803	
497	29641	40803	
498	-10.3333	40803	
499	33436	40803	
500	25562	40803	
501	35309	40803	
502	-33.3333	40803	
503	-6.33333	40803	
504	29604	40803	
505	-25.3333	40803	
506	-28.3333	40803	
507	27269	40803	
508	27281	40803	
509	-6.33333	40803	
510	-29.3333	40803	
511	29977	40803	
512	27128	40803	
513	36025	40803	
514	23249	40803	
515	33018	40803	
516	30829	40803	
517	-1.33333	40803	
518	31267	40803	
519	-7.33333	40803	
520	27937	40803	
521	33867	40803	
522	25445	40803	
523	-23.3333	40803	
524	-114.333	40803	
525	31927	40803	
526	35583	40803	
527	31712	40803	
528	31922	40803	
529	-61.3333	40803	
530	26081	40803	
531	-72.3333	40803	
532	-7.33333	40803	
533	33215	40803	
534	32500	40803	
535	-10.3333	40803	
536	35988	40803	
537	36621	40803	
538	35778	40803	
539	28501	40803	
540	-37.3333	40803	
541	-26.3333	40803	
542	24209	40803	
543	27672	40803	
