jeu_100_75_2.txt_5_currentGA	jeu_100_75_2.txt_5_bestGA	
0	-199.2	-199.2	
1	-93.2	-93.2	
2	-209.2	-93.2	
3	-194.2	-93.2	
4	-182.2	-93.2	
5	-221.2	-93.2	
6	-140.2	-93.2	
7	-283.2	-93.2	
8	-92.2	-92.2	
9	-170.2	-92.2	
10	-174.2	-92.2	
11	-141.2	-92.2	
12	-250.2	-92.2	
13	-149.2	-92.2	
14	-198.2	-92.2	
15	-264.2	-92.2	
16	-203.2	-92.2	
17	-245.2	-92.2	
18	-172.2	-92.2	
19	-233.2	-92.2	
20	-68.2	-68.2	
21	-235.2	-68.2	
22	-55.2	-55.2	
23	-140.2	-55.2	
24	-173.2	-55.2	
25	-282.2	-55.2	
26	-173.2	-55.2	
27	-224.2	-55.2	
28	-124.2	-55.2	
29	-147.2	-55.2	
30	-259.2	-55.2	
31	-134.2	-55.2	
32	-195.2	-55.2	
33	-32.2	-32.2	
34	-159.2	-32.2	
35	-277.2	-32.2	
36	-158.2	-32.2	
37	-120.2	-32.2	
38	-208.2	-32.2	
39	-154.2	-32.2	
40	-223.2	-32.2	
41	-132.2	-32.2	
42	-156.2	-32.2	
43	-127.2	-32.2	
44	-218.2	-32.2	
45	-137.2	-32.2	
46	-120.2	-32.2	
47	-189.2	-32.2	
48	-210.2	-32.2	
49	-208.2	-32.2	
50	-305.2	-32.2	
51	-124.2	-32.2	
52	-84.2	-32.2	
53	-159.2	-32.2	
54	-132.2	-32.2	
55	-155.2	-32.2	
56	-197.2	-32.2	
57	-127.2	-32.2	
58	-303.2	-32.2	
59	-136.2	-32.2	
60	-66.2	-32.2	
61	-192.2	-32.2	
62	-328.2	-32.2	
63	-113.2	-32.2	
64	-183.2	-32.2	
65	-218.2	-32.2	
66	-129.2	-32.2	
67	-114.2	-32.2	
68	-166.2	-32.2	
69	-42.2	-32.2	
70	-74.2	-32.2	
71	-35.2	-32.2	
72	-124.2	-32.2	
73	-218.2	-32.2	
74	-216.2	-32.2	
75	-178.2	-32.2	
76	-92.2	-32.2	
77	-196.2	-32.2	
78	-116.2	-32.2	
79	-62.2	-32.2	
80	-120.2	-32.2	
81	-156.2	-32.2	
82	-218.2	-32.2	
83	-365.2	-32.2	
84	-122.2	-32.2	
85	-131.2	-32.2	
86	-141.2	-32.2	
87	-242.2	-32.2	
88	-159.2	-32.2	
89	-169.2	-32.2	
90	-131.2	-32.2	
91	-117.2	-32.2	
92	-84.2	-32.2	
93	-79.2	-32.2	
94	-173.2	-32.2	
95	-160.2	-32.2	
96	-192.2	-32.2	
97	-283.2	-32.2	
98	-132.2	-32.2	
99	-104.2	-32.2	
100	-145.2	-32.2	
101	-175.2	-32.2	
102	-238.2	-32.2	
