jeu_100_25_4.txt_5_currentGA	jeu_100_25_4.txt_5_bestGA	
0	-166.44	-166.44	
1	-105.44	-105.44	
2	-150.44	-105.44	
3	-161.44	-105.44	
4	-162.44	-105.44	
5	-156.44	-105.44	
6	-120.44	-105.44	
7	-151.44	-105.44	
8	-92.44	-92.44	
9	-177.44	-92.44	
10	-306.44	-92.44	
11	-289.44	-92.44	
12	-279.44	-92.44	
13	-213.44	-92.44	
14	-225.44	-92.44	
15	-449.44	-92.44	
16	-193.44	-92.44	
17	-190.44	-92.44	
18	-156.44	-92.44	
19	-288.44	-92.44	
20	-131.44	-92.44	
21	-160.44	-92.44	
22	-205.44	-92.44	
23	-200.44	-92.44	
24	-115.44	-92.44	
25	-307.44	-92.44	
26	-72.44	-72.44	
27	-347.44	-72.44	
28	-125.44	-72.44	
29	-118.44	-72.44	
30	-233.44	-72.44	
31	-110.44	-72.44	
32	-313.44	-72.44	
33	-125.44	-72.44	
34	-166.44	-72.44	
35	-216.44	-72.44	
36	-197.44	-72.44	
37	-69.44	-69.44	
38	-164.44	-69.44	
39	-162.44	-69.44	
40	-355.44	-69.44	
41	-126.44	-69.44	
42	-216.44	-69.44	
43	-89.44	-69.44	
44	-354.44	-69.44	
45	-195.44	-69.44	
46	-100.44	-69.44	
47	-168.44	-69.44	
48	-357.44	-69.44	
49	-263.44	-69.44	
50	-478.44	-69.44	
51	-100.44	-69.44	
52	-111.44	-69.44	
53	-212.44	-69.44	
54	-128.44	-69.44	
55	-300.44	-69.44	
56	-283.44	-69.44	
57	-83.44	-69.44	
58	-271.44	-69.44	
59	-258.44	-69.44	
60	-86.44	-69.44	
61	-176.44	-69.44	
62	-284.44	-69.44	
63	-117.44	-69.44	
64	-254.44	-69.44	
65	-158.44	-69.44	
66	-213.44	-69.44	
67	-160.44	-69.44	
68	-160.44	-69.44	
69	-253.44	-69.44	
70	-151.44	-69.44	
71	-52.44	-52.44	
72	-45.44	-45.44	
73	-217.44	-45.44	
74	-210.44	-45.44	
75	-203.44	-45.44	
76	-134.44	-45.44	
77	-212.44	-45.44	
78	-146.44	-45.44	
79	-227.44	-45.44	
80	-69.44	-45.44	
81	-110.44	-45.44	
82	-193.44	-45.44	
83	-227.44	-45.44	
84	-175.44	-45.44	
