jeu_200_75_5.txt_5_currentGA	jeu_200_75_5.txt_5_bestGA	
0	-285.24	-285.24	
1	-281.24	-281.24	
2	-188.24	-188.24	
3	-274.24	-188.24	
4	-160.24	-160.24	
5	-160.24	-160.24	
6	-291.24	-160.24	
7	-316.24	-160.24	
8	-193.24	-160.24	
9	-404.24	-160.24	
10	-172.24	-160.24	
11	-278.24	-160.24	
12	-180.24	-160.24	
13	-394.24	-160.24	
14	-257.24	-160.24	
15	-302.24	-160.24	
16	-80.24	-80.24	
17	-240.24	-80.24	
18	-139.24	-80.24	
19	-502.24	-80.24	
20	-325.24	-80.24	
21	-355.24	-80.24	
22	-245.24	-80.24	
23	-357.24	-80.24	
24	-269.24	-80.24	
25	-279.24	-80.24	
26	-398.24	-80.24	
27	-72.24	-72.24	
28	-146.24	-72.24	
29	-441.24	-72.24	
30	-289.24	-72.24	
31	-73.24	-72.24	
32	-213.24	-72.24	
33	-265.24	-72.24	
34	-205.24	-72.24	
35	-182.24	-72.24	
36	-129.24	-72.24	
37	-363.24	-72.24	
38	-204.24	-72.24	
39	-172.24	-72.24	
40	-181.24	-72.24	
41	-146.24	-72.24	
42	-217.24	-72.24	
43	-284.24	-72.24	
44	-123.24	-72.24	
45	-123.24	-72.24	
46	-303.24	-72.24	
47	-196.24	-72.24	
48	-200.24	-72.24	
49	-278.24	-72.24	
50	-335.24	-72.24	
51	-439.24	-72.24	
52	-105.24	-72.24	
53	-281.24	-72.24	
54	-199.24	-72.24	
55	-135.24	-72.24	
56	-184.24	-72.24	
57	-296.24	-72.24	
58	-248.24	-72.24	
59	-126.24	-72.24	
60	-275.24	-72.24	
61	-226.24	-72.24	
62	-238.24	-72.24	
63	-354.24	-72.24	
64	-346.24	-72.24	
65	-288.24	-72.24	
66	-338.24	-72.24	
67	-238.24	-72.24	
68	-135.24	-72.24	
69	-142.24	-72.24	
70	-500.24	-72.24	
71	-299.24	-72.24	
72	-255.24	-72.24	
73	-241.24	-72.24	
74	-265.24	-72.24	
75	-240.24	-72.24	
76	-320.24	-72.24	
77	-257.24	-72.24	
78	-147.24	-72.24	
79	-245.24	-72.24	
80	-245.24	-72.24	
81	-89.24	-72.24	
82	-72.24	-72.24	
83	-182.24	-72.24	
84	-208.24	-72.24	
85	-243.24	-72.24	
86	-123.24	-72.24	
87	-144.24	-72.24	
88	-293.24	-72.24	
89	-168.24	-72.24	
90	-312.24	-72.24	
91	-119.24	-72.24	
