jeu_100_25_4.txt_3_currentGA	jeu_100_25_4.txt_3_bestGA	
0	11593	11593	
1	-111.733	11593	
2	-164.733	11593	
3	-110.733	11593	
4	-26.7333	11593	
5	-141.733	11593	
6	10375	11593	
7	-130.733	11593	
8	-143.733	11593	
9	-91.7333	11593	
10	-23.7333	11593	
11	-96.7333	11593	
12	-219.733	11593	
13	-129.733	11593	
14	-175.733	11593	
15	11127	11593	
16	-35.7333	11593	
17	-143.733	11593	
18	13432	13432	
19	-45.7333	13432	
20	-9.73333	13432	
21	-227.733	13432	
22	-112.733	13432	
23	-87.7333	13432	
24	14396	14396	
25	-164.733	14396	
26	-64.7333	14396	
27	-67.7333	14396	
28	-61.7333	14396	
29	-51.7333	14396	
30	-61.7333	14396	
31	-137.733	14396	
32	-159.733	14396	
33	-90.7333	14396	
34	-185.733	14396	
35	-179.733	14396	
36	-76.7333	14396	
37	-97.7333	14396	
38	-54.7333	14396	
39	-147.733	14396	
40	9008	14396	
41	-117.733	14396	
42	12649	14396	
43	13444	14396	
44	-122.733	14396	
45	-63.7333	14396	
46	11277	14396	
47	-323.733	14396	
48	-134.733	14396	
49	-139.733	14396	
50	-105.733	14396	
51	-80.7333	14396	
52	-197.733	14396	
53	-143.733	14396	
54	13643	14396	
55	-117.733	14396	
56	-105.733	14396	
57	13237	14396	
58	-145.733	14396	
59	-19.7333	14396	
60	-56.7333	14396	
61	-70.7333	14396	
62	-76.7333	14396	
63	9811	14396	
64	-94.7333	14396	
65	12959	14396	
66	-50.7333	14396	
67	10240	14396	
68	11532	14396	
69	-167.733	14396	
70	-14.7333	14396	
71	-57.7333	14396	
72	-122.733	14396	
73	-98.7333	14396	
74	-114.733	14396	
75	-96.7333	14396	
76	-167.733	14396	
77	-161.733	14396	
78	-197.733	14396	
79	13048	14396	
80	13910	14396	
81	-149.733	14396	
82	-61.7333	14396	
83	-132.733	14396	
84	-30.7333	14396	
85	-67.7333	14396	
86	11719	14396	
87	-5.73333	14396	
88	-1.73333	14396	
89	-131.733	14396	
90	-111.733	14396	
91	-9.73333	14396	
92	-132.733	14396	
93	9986	14396	
94	-20.7333	14396	
95	-92.7333	14396	
96	-35.7333	14396	
97	-37.7333	14396	
98	10815	14396	
99	-165.733	14396	
100	12732	14396	
101	-136.733	14396	
102	-7.73333	14396	
103	-40.7333	14396	
104	-134.733	14396	
105	15331	15331	
106	10849	15331	
107	-115.733	15331	
108	11400	15331	
109	-105.733	15331	
110	-109.733	15331	
111	13358	15331	
112	-1.73333	15331	
113	-118.733	15331	
114	-153.733	15331	
115	-28.7333	15331	
116	-74.7333	15331	
117	-91.7333	15331	
118	-148.733	15331	
119	-207.733	15331	
120	-21.7333	15331	
121	-219.733	15331	
122	13026	15331	
123	13514	15331	
124	-80.7333	15331	
125	12528	15331	
126	10069	15331	
127	-54.7333	15331	
128	-43.7333	15331	
129	-123.733	15331	
130	13720	15331	
131	-59.7333	15331	
132	-121.733	15331	
133	-106.733	15331	
134	10490	15331	
135	11897	15331	
136	11862	15331	
137	-22.7333	15331	
138	-34.7333	15331	
139	-33.7333	15331	
140	-11.7333	15331	
141	12959	15331	
142	-30.7333	15331	
143	-34.7333	15331	
144	-50.7333	15331	
145	-306.733	15331	
146	-17.7333	15331	
147	11144	15331	
148	-64.7333	15331	
149	11617	15331	
150	-79.7333	15331	
151	-51.7333	15331	
152	-111.733	15331	
153	-116.733	15331	
154	14733	15331	
155	-15.7333	15331	
156	12839	15331	
157	13298	15331	
158	-26.7333	15331	
159	13189	15331	
160	13650	15331	
161	-90.7333	15331	
162	-54.7333	15331	
163	-75.7333	15331	
164	-26.7333	15331	
165	-44.7333	15331	
166	11391	15331	
167	13377	15331	
168	-17.7333	15331	
169	12406	15331	
170	-1.73333	15331	
171	-69.7333	15331	
172	13358	15331	
173	10096	15331	
174	-25.7333	15331	
175	10623	15331	
176	-46.7333	15331	
177	-54.7333	15331	
178	-54.7333	15331	
179	-214.733	15331	
180	-11.7333	15331	
181	11552	15331	
182	13189	15331	
183	-168.733	15331	
184	-111.733	15331	
185	-50.7333	15331	
186	12537	15331	
187	13059	15331	
188	-26.7333	15331	
189	12188	15331	
190	-176.733	15331	
191	13063	15331	
192	-58.7333	15331	
193	-235.733	15331	
194	11363	15331	
195	-92.7333	15331	
196	-153.733	15331	
197	-119.733	15331	
198	-10.7333	15331	
199	11489	15331	
200	-91.7333	15331	
201	11388	15331	
202	-91.7333	15331	
203	11414	15331	
204	10858	15331	
205	-24.7333	15331	
206	13720	15331	
207	-30.7333	15331	
208	-94.7333	15331	
209	-28.7333	15331	
210	10201	15331	
211	11970	15331	
212	10579	15331	
213	-6.73333	15331	
214	-158.733	15331	
215	-307.733	15331	
216	-77.7333	15331	
217	-106.733	15331	
218	-115.733	15331	
219	-71.7333	15331	
220	-13.7333	15331	
221	11893	15331	
222	-5.73333	15331	
223	-130.733	15331	
224	11662	15331	
225	10385	15331	
226	-2.73333	15331	
227	13452	15331	
228	-77.7333	15331	
229	11349	15331	
230	-68.7333	15331	
231	-24.7333	15331	
232	-85.7333	15331	
233	12210	15331	
234	-23.7333	15331	
235	-20.7333	15331	
236	11878	15331	
237	-46.7333	15331	
238	13231	15331	
239	9871	15331	
240	-93.7333	15331	
241	-11.7333	15331	
242	-9.73333	15331	
243	-91.7333	15331	
244	-23.7333	15331	
245	-38.7333	15331	
246	11330	15331	
247	12310	15331	
248	13358	15331	
249	-18.7333	15331	
250	10220	15331	
251	14636	15331	
252	-30.7333	15331	
253	-17.7333	15331	
254	12771	15331	
255	11563	15331	
