jeu_200_25_8.txt_5_currentGA	jeu_200_25_8.txt_5_bestGA	
0	-270.84	-270.84	
1	-488.84	-270.84	
2	-306.84	-270.84	
3	-247.84	-247.84	
4	-145.84	-145.84	
5	-232.84	-145.84	
6	-411.84	-145.84	
7	-286.84	-145.84	
8	-283.84	-145.84	
9	-329.84	-145.84	
10	-254.84	-145.84	
11	-161.84	-145.84	
12	-179.84	-145.84	
13	-233.84	-145.84	
14	-172.84	-145.84	
15	-252.84	-145.84	
16	-141.84	-141.84	
17	-323.84	-141.84	
18	-116.84	-116.84	
19	-454.84	-116.84	
20	-223.84	-116.84	
21	-354.84	-116.84	
22	-175.84	-116.84	
23	-236.84	-116.84	
24	-358.84	-116.84	
25	-154.84	-116.84	
26	-186.84	-116.84	
27	-124.84	-116.84	
28	-214.84	-116.84	
29	-372.84	-116.84	
30	-335.84	-116.84	
31	-89.84	-89.84	
32	-182.84	-89.84	
33	-164.84	-89.84	
34	-141.84	-89.84	
35	-100.84	-89.84	
36	-219.84	-89.84	
37	-248.84	-89.84	
38	-277.84	-89.84	
39	-169.84	-89.84	
40	-222.84	-89.84	
41	-181.84	-89.84	
42	-273.84	-89.84	
43	-264.84	-89.84	
44	-213.84	-89.84	
45	-75.84	-75.84	
46	-273.84	-75.84	
47	-156.84	-75.84	
48	-139.84	-75.84	
49	-300.84	-75.84	
50	-253.84	-75.84	
51	-295.84	-75.84	
52	-74.84	-74.84	
53	-318.84	-74.84	
54	-174.84	-74.84	
55	-207.84	-74.84	
56	-138.84	-74.84	
57	-220.84	-74.84	
58	-215.84	-74.84	
59	-186.84	-74.84	
60	-268.84	-74.84	
61	-251.84	-74.84	
62	-227.84	-74.84	
63	-429.84	-74.84	
64	-237.84	-74.84	
65	-184.84	-74.84	
66	-176.84	-74.84	
67	-163.84	-74.84	
68	-93.84	-74.84	
69	-159.84	-74.84	
70	-319.84	-74.84	
71	-161.84	-74.84	
72	-218.84	-74.84	
73	-92.84	-74.84	
74	-149.84	-74.84	
75	-246.84	-74.84	
76	-182.84	-74.84	
77	-172.84	-74.84	
78	-254.84	-74.84	
79	-303.84	-74.84	
80	-175.84	-74.84	
81	-136.84	-74.84	
82	-296.84	-74.84	
83	-232.84	-74.84	
84	-177.84	-74.84	
85	-108.84	-74.84	
86	-223.84	-74.84	
87	-188.84	-74.84	
88	-278.84	-74.84	
89	-98.84	-74.84	
90	-212.84	-74.84	
91	-286.84	-74.84	
92	-158.84	-74.84	
93	-170.84	-74.84	
94	-286.84	-74.84	
95	-150.84	-74.84	
96	-65.84	-65.84	
97	-192.84	-65.84	
98	-106.84	-65.84	
99	-180.84	-65.84	
100	-21.84	-21.84	
101	-181.84	-21.84	
102	-221.84	-21.84	
103	-121.84	-21.84	
104	-186.84	-21.84	
105	-193.84	-21.84	
106	-211.84	-21.84	
107	-338.84	-21.84	
108	-213.84	-21.84	
109	-379.84	-21.84	
110	-201.84	-21.84	
111	-215.84	-21.84	
112	-165.84	-21.84	
113	-53.84	-21.84	
114	-127.84	-21.84	
115	-237.84	-21.84	
116	-257.84	-21.84	
117	-177.84	-21.84	
118	-21.84	-21.84	
119	-126.84	-21.84	
120	-340.84	-21.84	
121	-183.84	-21.84	
122	-173.84	-21.84	
123	-178.84	-21.84	
124	-97.84	-21.84	
125	-163.84	-21.84	
126	-92.84	-21.84	
127	-65.84	-21.84	
128	-255.84	-21.84	
129	-122.84	-21.84	
130	-271.84	-21.84	
131	-96.84	-21.84	
132	-111.84	-21.84	
133	-213.84	-21.84	
134	-233.84	-21.84	
135	-104.84	-21.84	
