jeu_100_75_2.txt_3_bestGAPerIt	jeu_100_75_2.txt_3_popMeanGA	jeu_100_75_2.txt_3_offMeanGA	
0	38658	4249.26	8677.69	
1	39041	8677.69	10465.6	
2	39041	11120.8	13224.1	
3	39293	13224.1	14924.5	
4	39784	14924.5	14853.5	
5	39784	15518.8	16505.3	
6	40803	16505.3	19153.3	
7	40803	19836.2	20425.4	
8	40803	21107.8	19752.8	
9	40803	20435.2	21819.6	
10	40803	22501.6	22007.4	
11	40803	22007.4	21357.2	
12	41810	21357.2	22918.4	
13	41810	23618.4	22850.6	
14	41810	22850.6	24486.6	
15	41810	25185.5	23853.3	
16	41810	24552.1	23380.2	
17	41810	24079.2	22434.2	
18	41867	22434.2	27725.8	
19	41867	28426.5	20053.2	
20	41867	20753.5	18909.8	
21	42404	18909.8	23084.9	
22	42404	23794.2	24998.4	
23	42856	24998.4	26060.4	
24	42856	26776.8	26213.6	
25	43750	26213.6	28422.3	
26	43750	29153.1	28822.5	
27	44727	28822.5	28704.5	
28	47381	28704.5	35216.8	
29	47381	36007.8	31082.5	
30	47381	31873.7	29840.9	
31	47381	30632.1	27744.7	
32	47381	28535.7	25985.5	
33	47381	26777.6	25866	
34	49699	25866	26691.1	
35	49699	27521.7	29290	
36	49699	30119.6	26462.5	
37	49699	27292.1	31794.3	
38	49699	32624	31415.9	
39	49699	32245.5	26451.3	
40	49806	26451.3	27448.7	
41	49806	28281	30013.4	
42	49806	30844.6	26400.1	
43	49806	27231.6	24154.9	
44	49806	24986.5	24174.2	
45	50072	24174.2	24821.2	
46	50072	25658.2	25493.7	
47	50095	25493.7	22611.4	
48	50095	23447.8	23384.4	
49	50442	23384.4	19455.7	
50	50442	19455.7	19544.6	
51	50442	19544.6	23065.1	
52	50442	23907.1	27257.3	
53	50442	27257.3	36754.3	
54	50442	37595.7	29430.7	
55	50820	29430.7	31589.5	
56	50820	32437.5	28571.1	
57	50820	28571.1	34297.5	
58	50820	34297.5	29437	
59	50820	30284.6	32150.2	
60	50820	32150.2	30567.2	
61	50820	31415.1	28229.3	
62	50820	28229.3	29173.7	
63	50820	29173.7	35109.3	
64	51340	35109.3	36636.3	
65	51340	37492.5	28493.1	
66	51340	29349.5	30258.5	
67	51340	31115	32106.1	
68	51427	32106.1	28822.7	
69	51433	28822.7	33695.6	
70	51433	34553.5	36914.8	
71	51433	37772.6	32967.8	
72	51433	33825.5	34615.8	
73	51433	34615.8	31221.2	
74	51433	31221.2	32753.6	
