jeu_200_75_5.txt_3_bestGAPerIt	jeu_200_75_5.txt_3_popMeanGA	jeu_200_75_5.txt_3_offMeanGA	
0	156197	38619.2	63323.1	
1	156197	65933.7	66338.5	
2	156197	68944.7	71145.3	
3	156197	73752.7	71721	
4	156197	74329	85454.8	
5	157299	85454.8	91827.3	
6	157299	91827.3	94145.8	
7	157299	96769.5	74592.6	
8	157299	77219.4	99529.3	
9	159090	99529.3	87399.9	
10	159090	90053.8	78124.8	
11	159090	78124.8	106720	
12	160823	106720	104068	
13	160823	104068	102235	
14	160823	102235	120429	
15	162493	120429	125522	
16	162493	125522	103799	
17	170549	103799	104117	
18	170549	106963	113484	
19	170746	113484	109231	
20	170746	112080	101134	
21	170746	103982	117682	
22	172874	117682	142034	
23	172874	142034	129240	
24	174351	129240	118063	
25	180541	118063	122507	
26	184704	122507	107416	
27	184704	110496	132831	
28	184704	135912	127813	
29	185070	127813	119519	
30	185070	119519	106029	
31	185070	109116	106688	
32	185070	109774	97629.1	
33	185070	100716	117952	
34	185070	121039	129388	
35	185070	129388	106388	
36	185070	109474	110003	
37	185658	110003	132239	
38	185658	132239	135720	
39	188426	135720	122262	
40	188426	125405	126046	
41	188536	126046	118098	
42	188536	118098	115346	
43	188536	118491	137261	
44	193065	137261	125173	
45	193065	128393	119925	
46	193065	119925	113809	
47	193065	113809	135925	
48	193065	135925	118592	
49	193065	118592	126389	
50	193065	126389	109701	
51	193065	109701	118887	
52	193065	122106	128707	
53	193065	128707	129441	
54	193410	129441	137300	
55	196451	137300	111870	
56	196451	111870	125394	
57	196451	125394	125509	
58	197059	125509	119543	
59	198426	119543	116749	
60	198426	120057	125556	
61	198426	125556	139150	
62	201625	139150	148867	
63	201625	152228	120645	
64	201625	124007	136797	
65	201625	140158	146544	
66	201625	149906	153616	
67	201625	156977	109255	
68	202237	109255	131983	
69	202237	135355	122776	
70	202237	126148	135353	
71	202237	138725	129671	
72	202237	133043	156041	
73	202237	156041	149907	
74	202237	149907	114133	
75	202237	114133	117905	
76	202237	117905	131182	
77	202237	131182	127802	
78	203839	127802	121363	
79	203839	124762	130640	
80	203839	134038	143854	
81	203839	143854	141542	
82	203839	144940	148726	
83	203839	152124	129753	
84	204531	129753	116143	
85	204531	119552	126582	
86	205140	126582	123133	
87	205140	123133	136832	
88	205140	140252	133628	
89	205487	133628	140465	
90	205487	143890	134109	
91	205487	137535	130815	
92	205487	134241	137603	
93	205487	141029	150924	
94	205487	154350	150328	
95	207347	150328	150655	
96	207347	150655	167537	
97	207347	170993	161256	
98	207347	161256	148659	
99	207448	148659	125253	
100	207448	128712	118747	
101	208495	118747	138264	
102	208495	141740	128057	
103	208495	131532	155119	
104	208495	158595	131758	
105	208495	131758	159034	
106	208537	159034	152356	
107	208537	152356	138683	
108	208608	138683	142109	
109	208608	142109	148951	
110	208608	148951	138501	
111	208608	141978	166008	
112	208608	169485	169291	
113	208608	172769	156289	
114	208608	156289	146171	
115	208608	149649	108719	
116	208608	112197	118838	
117	208608	122316	111986	
118	208608	115464	149800	
119	208608	149800	143114	
120	208608	143114	143302	
121	208608	143302	146630	
122	208935	146630	129218	
123	208935	132701	149758	
124	208935	149758	149794	
125	208935	153277	160403	
126	208935	160403	164399	
127	208935	167882	154373	
128	208935	157857	144012	
129	209947	144012	148024	
130	209947	148024	179253	
131	209947	179253	172624	
132	209947	172624	152094	
133	209947	152094	155435	
134	209947	155435	148664	
135	209947	148664	162609	
136	209947	162609	166209	
137	210072	166209	165911	
138	210072	169413	176461	
139	210072	176461	176743	
140	210501	176743	169856	
141	210501	169856	160101	
142	210501	160101	156585	
143	210501	156585	177670	
144	211078	177670	171236	
145	211078	171236	192494	
146	211078	196013	196058	
147	211375	196058	171735	
148	211375	171735	178939	
149	211974	178939	182679	
150	211974	186213	186166	
151	211974	186166	172163	
152	211974	175696	186211	
153	211974	189744	193613	
154	211989	193613	197152	
155	211989	197152	186882	
156	211989	186882	197604	
157	211989	197604	204637	
158	211989	204637	183557	
159	211989	183557	183696	
160	212334	183696	190630	
161	212334	190630	183471	
162	212334	183471	201231	
163	212334	201231	187161	
164	212334	187161	186986	
165	212334	186986	194246	
166	212334	194246	180089	
167	212334	180089	190571	
168	212334	190571	194174	
169	212334	194174	180086	
170	212334	180086	176665	
171	212334	176665	169698	
172	212334	169698	180293	
173	212415	180293	183666	
174	212496	183666	194461	
175	212496	194461	176876	
176	212496	180419	183950	
177	212496	183950	197965	
178	212496	197965	180459	
179	212496	180459	169806	
