jeu_200_25_8.txt_5_bestGAPerIt	jeu_200_25_8.txt_5_popMeanGA	jeu_200_25_8.txt_5_offMeanGA	
0	-74.84	-230.473	-199.107	
1	-21.84	-199.107	-182.957	
2	-21.84	-182.957	-172.407	
3	-21.84	-165.123	-165.857	
4	-6.84	-165.857	-147.657	
5	-6.84	-143.59	-142.24	
6	-6.84	-136.507	340.024	
7	27724	340.024	396.424	
8	29497	396.424	1693.87	
9	29497	2190.16	3710.86	
10	32804	3710.86	5011.3	
11	32804	5561.29	5000.05	
12	32804	5551.13	11415.4	
13	32804	11964.6	9781.2	
14	32804	10331	9036.64	
15	32804	9586.47	10174.6	
16	32804	10723.3	10976.3	
17	32804	10976.3	11616.8	
18	32804	11616.8	12117.2	
19	32804	12667	10494.9	
20	32804	11045.5	13628.1	
21	32987	13628.1	11864.1	
22	32987	12417.1	15947.4	
23	32987	16498.9	15327.9	
24	32987	15881.9	15582.7	
25	32987	16134.3	15174	
26	32987	15728.2	18198.4	
27	32987	18198.4	16160.8	
28	32987	16713.2	13916.8	
29	32987	14468.9	15081.2	
30	32987	15634.6	18734.6	
31	32987	18734.6	17761.5	
32	32987	18313.8	17828.3	
33	32987	17828.3	19263.1	
34	32987	19815.8	17122.5	
35	32987	17674.7	21648.4	
36	32987	22199.7	20917.6	
37	32987	21470.4	21017.6	
38	32987	21569.7	22574.9	
39	32987	23129.5	22632.6	
40	32987	23184.7	23321.7	
41	32987	23873.3	20917.6	
42	32987	20917.6	17461.2	
43	33212	17461.2	21228.9	
44	33434	21228.9	23763	
45	34946	23763	20951.9	
46	34946	20951.9	24284	
47	34946	24284	20764.7	
48	34946	21348.2	23480.8	
49	34946	24064.3	21030.4	
50	34979	21030.4	21576.4	
51	34979	21576.4	21783.3	
52	35081	21783.3	24734.6	
53	36479	24734.6	27044.9	
54	36479	27654.3	25493	
55	36479	26102.7	23399.6	
56	36479	24008.3	23000.3	
57	36479	23000.3	24789	
58	36479	24789	26106.5	
59	37009	26106.5	27419.8	
60	37394	27419.8	28210.1	
61	37394	28210.1	29656.1	
62	37986	29656.1	29244.2	
63	37986	29878.2	26680.4	
64	37986	27314.7	27577.8	
65	38907	27577.8	21894.3	
66	39291	21894.3	22561.7	
67	39291	22561.7	21975.6	
68	39291	21975.6	19575.7	
69	39291	20232.1	26535.3	
70	39291	27191.3	25548.1	
71	39982	25548.1	29362.9	
72	40138	29362.9	21884.8	
73	40138	21884.8	25115	
74	40138	25115	20237.3	
75	40489	20237.3	28670.7	
76	40489	29346.5	24229	
77	40489	24905.5	19259	
78	40706	19259	22484.4	
79	40706	23163.9	21885.5	
80	40706	22565.6	21271.7	
81	40706	21271.7	23224.5	
82	40706	23904.3	23986.5	
83	40755	23986.5	27256.2	
84	41213	27256.2	32015.7	
85	41213	32703.4	30217.1	
