jeu_200_25_8.txt_3_bestGAPerIt	jeu_200_25_8.txt_3_popMeanGA	jeu_200_25_8.txt_3_offMeanGA	
0	52632	9571.31	16961.7	
1	52632	16961.7	18904.1	
2	52632	19786	21937.8	
3	52632	22817.9	21756	
4	52632	22637.5	24818.5	
5	52632	25698.6	30556.8	
6	52632	31437.6	31713.9	
7	52632	31713.9	29741.6	
8	52632	30622.9	30978.4	
9	54777	30978.4	31435.9	
10	55512	31435.9	35450.4	
11	55512	35450.4	27825.1	
12	55512	28754.2	27108.5	
13	55562	27108.5	33924.3	
14	55562	33924.3	36515.8	
15	55562	36515.8	34644.6	
16	55562	35573.5	37323.1	
17	56586	37323.1	33709.9	
18	57991	33709.9	34146.6	
19	57991	34146.6	35186	
20	57991	36155.2	30256.5	
21	57991	31224.9	39871.7	
22	57991	40840.8	39482	
23	59323	39482	37878.9	
24	59704	37878.9	42370.5	
25	59704	42370.5	39239.1	
26	61213	39239.1	39510.5	
27	61213	40534	38660	
28	61577	38660	36952.2	
29	62279	36952.2	33487.4	
30	62555	33487.4	39551.9	
31	62650	39551.9	37864.1	
32	62650	37864.1	34352.4	
33	64240	34352.4	30474.2	
34	64240	30474.2	29806.2	
35	64240	29806.2	31760.8	
36	64283	31760.8	29665.4	
37	64283	30739.5	33683.3	
38	64283	34757.6	39098	
39	65042	39098	41030.7	
40	65042	42117.4	36992	
41	65042	36992	39130.6	
42	65042	39130.6	32001.6	
43	65042	33087.7	40216.3	
44	65042	40216.3	34270.3	
45	66476	34270.3	37440	
46	66476	38550.8	35265	
47	66476	36376.4	34434.2	
48	66476	34434.2	41895.5	
49	66476	41895.5	35949.2	
50	66476	37060.5	38143	
51	66476	39252.4	43129.5	
52	66476	44239	45577.4	
53	66476	45577.4	39724.1	
54	67191	39724.1	46330.5	
55	67429	46330.5	41461.3	
56	68883	41461.3	43783.2	
57	68883	44932.3	41728	
58	68883	42878	41496.6	
59	68883	41496.6	43715.1	
60	68883	43715.1	44871.7	
