jeu_200_75_5.txt_5_bestGAPerIt	jeu_200_75_5.txt_5_popMeanGA	jeu_200_75_5.txt_5_offMeanGA	
0	-72.24	-241.523	-224.44	
1	-72.24	-224.44	-189.173	
2	-22.24	-189.173	-170.59	
3	-22.24	-165.64	-174.407	
4	-22.24	-174.407	-170.457	
5	-22.24	-170.457	-168.64	
6	-22.24	-161.573	-139.507	
7	-6.24	-139.507	1254.5	
8	83384	1254.5	1268.68	
9	83384	1268.68	2784.95	
10	89912	2784.95	-110.173	
11	89912	1392.8	2707.55	
12	89912	4210.44	9875.62	
13	89912	9875.62	17105.4	
14	95206	17105.4	22052.9	
15	95206	22052.9	22812.6	
16	95206	22812.6	15699.1	
17	100450	15699.1	22531.9	
18	100450	22531.9	31014.6	
19	100450	32692.8	33938	
20	100450	35614.7	34073.7	
21	100450	35750	44270.4	
22	100450	45947.7	47944	
23	100450	47944	46599.7	
24	100450	46599.7	48586.4	
25	100450	50263.7	46110.7	
26	100450	47787.9	48794.3	
27	100450	50470.2	44370.8	
28	100450	46048.1	49201.6	
29	100450	50877.8	47023.5	
30	103710	47023.5	47482.6	
31	103710	49212.9	42882.1	
32	103710	42882.1	52468	
33	103710	54197.6	61781.3	
34	103710	63511.8	53042.7	
35	103710	53042.7	55461.7	
36	104258	55461.7	49076.4	
37	104258	49076.4	56774.5	
38	104258	56774.5	57198.5	
39	104258	58937.5	61847.4	
40	104258	63587.3	59365.2	
41	104610	59365.2	67643.9	
42	104610	67643.9	62607.6	
43	105173	62607.6	74228.7	
44	105173	75982.8	68471.5	
45	105173	68471.5	68872.6	
46	105173	68872.6	60620.3	
47	105173	62374.6	64700.7	
48	108566	64700.7	69578.7	
49	108566	71389.4	66492.4	
50	108566	66492.4	72121.9	
51	108566	73933.2	69511.3	
52	108566	71321.8	77263.1	
53	109210	77263.1	67374	
54	109210	69195.3	67630.7	
55	109486	67630.7	64208.8	
56	109486	66035.2	78642.2	
57	109978	78642.2	75699.2	
58	111066	75699.2	83200.9	
59	111388	83200.9	79788.8	
60	112449	79788.8	71374.1	
61	112449	71374.1	77464.6	
62	113542	77464.6	86796.9	
63	113542	88689.9	76300.5	
64	113542	78194.4	67800.7	
65	114258	67800.7	77228.1	
66	114258	79133.7	89253.6	
67	115863	89253.6	82102.1	
68	116388	82102.1	67556.5	
69	117439	67556.5	67496.3	
70	119893	67496.3	67717.2	
71	120345	67717.2	54837.5	
72	120345	54837.5	68088.5	
73	120345	70094.8	83471.8	
74	120345	85478.3	71901.7	
75	120345	73908.7	71929.9	
76	120345	73936.4	72339.6	
77	120345	74346.2	72640.4	
78	120345	74646.9	75063.3	
79	120345	77070.6	73116.3	
80	120345	75123.4	73546	
81	120345	75552.6	75479.9	
82	121400	75479.9	74270.4	
83	121400	74270.4	60645.8	
84	121400	62670.2	74467	
85	121548	74467	78613	
86	121548	78613	74577.5	
87	121548	76604.1	80729.3	
88	121779	80729.3	75114.3	
89	122055	75114.3	81232.1	
90	122055	81232.1	75592	
91	122887	75592	81936.5	
