jeu_100_75_2.txt_3_currentACO	jeu_100_75_2.txt_3_bestACO	
0	48977	48977	
1	50412	50412	
2	50951	50951	
3	51583	51583	
4	48066	51583	
5	51583	51583	
6	51583	51583	
7	51583	51583	
8	51583	51583	
9	51583	51583	
10	51583	51583	
11	51583	51583	
12	51583	51583	
13	51583	51583	
14	51583	51583	
15	51583	51583	
16	51583	51583	
17	51583	51583	
18	51583	51583	
19	51583	51583	
20	51583	51583	
21	51583	51583	
22	51583	51583	
23	51583	51583	
24	51583	51583	
25	51583	51583	
26	51583	51583	
27	51583	51583	
28	51583	51583	
29	51583	51583	
30	51583	51583	
31	51583	51583	
32	51583	51583	
33	51583	51583	
34	51583	51583	
35	51583	51583	
36	51583	51583	
37	51583	51583	
38	51583	51583	
39	51583	51583	
40	51583	51583	
41	51583	51583	
42	51583	51583	
43	51583	51583	
44	51583	51583	
45	51583	51583	
46	51583	51583	
47	51583	51583	
48	51583	51583	
49	51583	51583	
50	51583	51583	
51	51583	51583	
52	51583	51583	
53	51583	51583	
54	51583	51583	
55	51583	51583	
56	51583	51583	
57	51583	51583	
58	51583	51583	
59	51583	51583	
60	51583	51583	
61	51583	51583	
62	51583	51583	
63	51583	51583	
64	51583	51583	
65	51583	51583	
66	51583	51583	
67	51583	51583	
68	51583	51583	
69	51583	51583	
70	51583	51583	
71	51583	51583	
72	51583	51583	
73	51583	51583	
74	51583	51583	
75	51583	51583	
76	51583	51583	
77	51583	51583	
78	51583	51583	
79	51583	51583	
80	51583	51583	
81	51583	51583	
82	51583	51583	
83	51583	51583	
84	51583	51583	
85	51583	51583	
86	51583	51583	
87	51583	51583	
88	51583	51583	
89	51583	51583	
90	51583	51583	
91	51583	51583	
92	51583	51583	
93	51583	51583	
94	51583	51583	
95	51583	51583	
96	51583	51583	
97	51583	51583	
98	51583	51583	
99	51583	51583	
100	51583	51583	
101	51583	51583	
102	51583	51583	
103	51583	51583	
104	51583	51583	
105	51583	51583	
106	51583	51583	
107	51583	51583	
108	51583	51583	
109	51583	51583	
110	51583	51583	
111	51583	51583	
112	51583	51583	
113	51583	51583	
114	51583	51583	
115	51583	51583	
116	51583	51583	
117	51583	51583	
118	51583	51583	
119	51583	51583	
120	51583	51583	
121	51583	51583	
122	51583	51583	
123	51583	51583	
124	51583	51583	
125	51583	51583	
126	51583	51583	
127	51583	51583	
128	51583	51583	
129	51583	51583	
130	51583	51583	
131	51583	51583	
132	51583	51583	
133	51583	51583	
134	51583	51583	
135	51583	51583	
136	51583	51583	
137	51583	51583	
138	51583	51583	
139	51583	51583	
140	51583	51583	
141	51583	51583	
142	51583	51583	
143	51583	51583	
144	51583	51583	
145	51583	51583	
146	51583	51583	
147	51583	51583	
148	51583	51583	
149	51583	51583	
150	51583	51583	
151	51583	51583	
