jeu_200_25_8.txt_5_currentACO	jeu_200_25_8.txt_5_bestACO	
0	41264	41264	
1	39517	41264	
2	37924	41264	
3	39795	41264	
4	40116	41264	
5	41264	41264	
6	41264	41264	
7	41166	41264	
8	42406	42406	
9	41881	42406	
10	42582	42582	
11	43246	43246	
12	43856	43856	
13	42406	43856	
14	43132	43856	
15	44442	44442	
16	44099	44442	
17	43856	44442	
18	43771	44442	
19	44196	44442	
20	45742	45742	
21	43718	45742	
22	43866	45742	
23	43771	45742	
24	45038	45742	
25	45030	45742	
26	44745	45742	
27	43859	45742	
28	44967	45742	
29	46769	46769	
30	44067	46769	
31	45105	46769	
32	45362	46769	
33	46130	46769	
34	46494	46769	
35	45332	46769	
36	45538	46769	
37	45536	46769	
38	46194	46769	
39	45806	46769	
40	45780	46769	
41	45472	46769	
42	46705	46769	
43	46678	46769	
44	46448	46769	
45	45844	46769	
46	46769	46769	
47	46424	46769	
48	46769	46769	
49	46769	46769	
50	46408	46769	
51	46231	46769	
52	45877	46769	
53	46769	46769	
54	45650	46769	
55	45433	46769	
56	46769	46769	
57	46705	46769	
58	46199	46769	
59	46769	46769	
60	46769	46769	
61	46769	46769	
62	46769	46769	
63	46174	46769	
64	46769	46769	
65	46478	46769	
66	46769	46769	
67	46769	46769	
68	46151	46769	
69	46769	46769	
70	46478	46769	
71	46405	46769	
72	46769	46769	
73	46769	46769	
74	46769	46769	
75	46769	46769	
76	46264	46769	
77	46769	46769	
78	45928	46769	
79	46769	46769	
80	46769	46769	
81	46776	46776	
82	46769	46776	
83	46769	46776	
84	44557	46776	
85	46966	46966	
86	46633	46966	
87	46964	46966	
88	46769	46966	
89	45085	46966	
90	46966	46966	
91	46251	46966	
92	46801	46966	
93	45911	46966	
94	46074	46966	
95	46966	46966	
96	46908	46966	
97	47078	47078	
98	46860	47078	
99	45911	47078	
100	46356	47078	
101	46679	47078	
102	46966	47078	
103	47041	47078	
104	46486	47078	
105	45856	47078	
106	46724	47078	
107	46637	47078	
108	46488	47078	
109	47078	47078	
110	47210	47210	
111	47078	47210	
112	47128	47210	
113	46327	47210	
114	46378	47210	
115	46513	47210	
116	46505	47210	
117	46520	47210	
118	46755	47210	
119	46913	47210	
120	47203	47210	
121	46720	47210	
122	46920	47210	
123	46849	47210	
124	46888	47210	
125	47210	47210	
126	46227	47210	
127	47210	47210	
128	46755	47210	
129	46839	47210	
130	46939	47210	
131	47203	47210	
132	46295	47210	
133	47124	47210	
134	46087	47210	
135	47159	47210	
136	46738	47210	
137	46545	47210	
138	47159	47210	
139	45917	47210	
140	47210	47210	
141	46394	47210	
142	46640	47210	
143	47210	47210	
144	47210	47210	
145	47210	47210	
146	46757	47210	
147	47210	47210	
148	47210	47210	
149	47210	47210	
150	46876	47210	
151	46918	47210	
152	47210	47210	
153	47210	47210	
154	47111	47210	
155	46925	47210	
156	47210	47210	
157	47210	47210	
158	47210	47210	
159	47210	47210	
160	46880	47210	
161	47210	47210	
162	46201	47210	
163	47210	47210	
164	46894	47210	
165	47210	47210	
166	47210	47210	
167	47210	47210	
168	46301	47210	
169	47412	47412	
170	47210	47412	
171	47412	47412	
172	46920	47412	
173	46901	47412	
174	46997	47412	
175	47210	47412	
176	47412	47412	
177	47412	47412	
178	47308	47412	
179	47210	47412	
180	47180	47412	
181	47380	47412	
182	46808	47412	
183	47014	47412	
184	47412	47412	
185	46887	47412	
186	47412	47412	
187	46989	47412	
188	47210	47412	
189	47051	47412	
190	47412	47412	
191	47412	47412	
192	46989	47412	
193	47412	47412	
194	46901	47412	
195	47412	47412	
196	47210	47412	
197	47412	47412	
198	46361	47412	
199	47412	47412	
200	46901	47412	
201	47412	47412	
202	47412	47412	
203	47412	47412	
204	47051	47412	
205	47823	47823	
206	46535	47823	
207	47308	47823	
208	47412	47823	
209	47412	47823	
210	47826	47826	
211	47788	47826	
212	47361	47826	
213	46976	47826	
214	47412	47826	
215	47243	47826	
216	47788	47826	
217	47412	47826	
218	47412	47826	
219	47412	47826	
220	47636	47826	
221	47788	47826	
222	47427	47826	
223	47707	47826	
224	47210	47826	
225	47826	47826	
226	47788	47826	
227	47629	47826	
228	47464	47826	
229	47205	47826	
230	47826	47826	
231	47788	47826	
232	47629	47826	
233	47412	47826	
234	47500	47826	
235	47826	47826	
236	47826	47826	
237	47707	47826	
238	47412	47826	
239	47526	47826	
240	47826	47826	
241	47826	47826	
242	47826	47826	
243	47449	47826	
244	47707	47826	
245	47826	47826	
246	47121	47826	
247	47767	47826	
248	47826	47826	
249	47826	47826	
250	47826	47826	
251	46819	47826	
252	47788	47826	
253	47198	47826	
254	47826	47826	
255	47826	47826	
256	47826	47826	
257	46500	47826	
258	47823	47826	
259	47308	47826	
260	47826	47826	
261	47707	47826	
262	47678	47826	
263	47707	47826	
264	47826	47826	
265	47826	47826	
266	47826	47826	
267	47826	47826	
268	46907	47826	
269	47826	47826	
270	47826	47826	
271	47826	47826	
272	47826	47826	
273	47826	47826	
274	47826	47826	
275	47826	47826	
276	46359	47826	
277	47587	47826	
278	47826	47826	
279	47707	47826	
280	47826	47826	
281	47826	47826	
282	47826	47826	
283	47826	47826	
284	47826	47826	
285	47826	47826	
286	47826	47826	
287	47412	47826	
288	46958	47826	
289	47412	47826	
290	47826	47826	
291	47707	47826	
292	47412	47826	
293	47315	47826	
294	47826	47826	
295	47826	47826	
296	47439	47826	
297	47412	47826	
298	46915	47826	
299	47826	47826	
300	47826	47826	
301	47826	47826	
302	47826	47826	
303	44523	47826	
304	47826	47826	
305	47826	47826	
306	47826	47826	
307	47826	47826	
308	47564	47826	
309	47826	47826	
310	47826	47826	
311	47826	47826	
312	47826	47826	
313	47230	47826	
314	47636	47826	
315	47826	47826	
316	47826	47826	
317	47826	47826	
318	47357	47826	
319	47472	47826	
320	47826	47826	
321	47826	47826	
322	47826	47826	
323	47564	47826	
324	47826	47826	
325	47826	47826	
326	47826	47826	
327	47826	47826	
328	47564	47826	
329	47826	47826	
330	47707	47826	
331	47707	47826	
332	47826	47826	
333	47826	47826	
334	47826	47826	
335	46221	47826	
336	47826	47826	
337	47826	47826	
338	47826	47826	
339	47826	47826	
340	47826	47826	
341	47826	47826	
342	47826	47826	
343	47619	47826	
344	47707	47826	
345	47826	47826	
346	47492	47826	
347	47707	47826	
348	47560	47826	
349	47707	47826	
350	47826	47826	
351	47193	47826	
352	47707	47826	
353	47465	47826	
354	47826	47826	
355	47561	47826	
356	47826	47826	
357	47826	47826	
358	47826	47826	
359	47826	47826	
360	47826	47826	
361	47826	47826	
362	46996	47826	
363	47826	47826	
364	47826	47826	
365	47826	47826	
366	47826	47826	
367	47826	47826	
368	47826	47826	
369	47826	47826	
370	47826	47826	
371	47826	47826	
372	47826	47826	
373	47243	47826	
374	47826	47826	
375	47826	47826	
376	47176	47826	
377	47826	47826	
378	47826	47826	
379	47707	47826	
380	47826	47826	
381	47826	47826	
382	46538	47826	
383	47826	47826	
384	47826	47826	
385	47826	47826	
386	47826	47826	
387	47826	47826	
388	47826	47826	
389	47826	47826	
390	47326	47826	
391	47826	47826	
392	47243	47826	
393	47826	47826	
394	47826	47826	
395	47103	47826	
396	47826	47826	
397	47826	47826	
398	47826	47826	
399	47826	47826	
400	47826	47826	
401	47826	47826	
402	47826	47826	
403	47826	47826	
404	47826	47826	
405	47826	47826	
406	47826	47826	
407	47826	47826	
408	47826	47826	
409	47826	47826	
410	47707	47826	
411	47103	47826	
412	47826	47826	
413	47707	47826	
414	47826	47826	
415	47826	47826	
416	47826	47826	
417	47707	47826	
418	47826	47826	
419	47826	47826	
420	47826	47826	
Column 5: 420
Column 6: 420
