jeu_100_25_4.txt_5_currentACO	jeu_100_25_4.txt_5_bestACO	
0	13760	13760	
1	12650	13760	
2	13888	13888	
3	12418	13888	
4	13113	13888	
5	13888	13888	
6	13888	13888	
7	13888	13888	
8	14375	14375	
9	13888	14375	
10	14038	14375	
11	13888	14375	
12	14375	14375	
13	14375	14375	
14	14121	14375	
15	14121	14375	
16	14121	14375	
17	14375	14375	
18	14375	14375	
19	14121	14375	
20	14121	14375	
21	13933	14375	
22	14375	14375	
23	14375	14375	
24	14375	14375	
25	14375	14375	
26	14121	14375	
27	14375	14375	
28	14375	14375	
29	14247	14375	
30	14375	14375	
31	14375	14375	
32	14375	14375	
33	14375	14375	
34	14375	14375	
35	14375	14375	
36	14375	14375	
37	14375	14375	
38	14375	14375	
39	14375	14375	
40	14375	14375	
41	14375	14375	
42	14187	14375	
43	14375	14375	
44	14375	14375	
45	14375	14375	
46	14375	14375	
47	14187	14375	
48	14375	14375	
49	14375	14375	
50	14375	14375	
51	14375	14375	
52	14375	14375	
53	14375	14375	
54	14375	14375	
55	14375	14375	
56	14375	14375	
57	14375	14375	
58	14375	14375	
59	14375	14375	
60	14375	14375	
61	14375	14375	
62	14375	14375	
63	14375	14375	
64	14375	14375	
65	14375	14375	
66	14375	14375	
67	14375	14375	
68	14375	14375	
69	14375	14375	
70	14187	14375	
71	14292	14375	
72	14375	14375	
73	14375	14375	
74	14292	14375	
75	14375	14375	
76	14375	14375	
77	14375	14375	
78	14375	14375	
79	14292	14375	
80	14375	14375	
81	14375	14375	
82	14375	14375	
83	14375	14375	
84	14375	14375	
85	14375	14375	
86	14375	14375	
87	14375	14375	
88	14375	14375	
89	14121	14375	
90	14375	14375	
91	14375	14375	
92	14375	14375	
93	14375	14375	
94	14375	14375	
95	14375	14375	
96	14375	14375	
97	14375	14375	
98	14375	14375	
99	14375	14375	
100	14375	14375	
101	14375	14375	
102	14375	14375	
103	14375	14375	
104	14375	14375	
105	14375	14375	
106	14375	14375	
107	14375	14375	
108	14375	14375	
109	14375	14375	
110	14375	14375	
111	14375	14375	
112	14375	14375	
113	14375	14375	
114	14375	14375	
115	14375	14375	
116	14375	14375	
117	14024	14375	
118	14375	14375	
119	14375	14375	
120	14375	14375	
121	14375	14375	
122	14121	14375	
123	14375	14375	
124	14375	14375	
125	14375	14375	
126	14375	14375	
127	14121	14375	
128	14375	14375	
129	14375	14375	
130	14375	14375	
131	14247	14375	
132	14375	14375	
133	14375	14375	
134	14375	14375	
135	14375	14375	
136	14247	14375	
137	14292	14375	
138	14375	14375	
139	14375	14375	
140	14375	14375	
141	14375	14375	
142	14375	14375	
143	14375	14375	
144	14375	14375	
145	14375	14375	
146	14375	14375	
147	14179	14375	
148	14375	14375	
149	14375	14375	
150	14375	14375	
151	14375	14375	
152	14375	14375	
153	14375	14375	
154	14375	14375	
155	14375	14375	
156	14375	14375	
157	14375	14375	
158	14375	14375	
159	14375	14375	
160	14375	14375	
161	14375	14375	
162	14187	14375	
163	14375	14375	
164	14375	14375	
165	14375	14375	
166	14375	14375	
167	14375	14375	
168	14375	14375	
169	14375	14375	
170	14375	14375	
171	14375	14375	
172	14375	14375	
173	14375	14375	
174	14375	14375	
175	14375	14375	
176	14247	14375	
177	14375	14375	
178	14375	14375	
179	14375	14375	
180	14375	14375	
181	14375	14375	
182	14375	14375	
183	14375	14375	
184	14375	14375	
185	14375	14375	
186	14278	14375	
187	14375	14375	
188	14375	14375	
189	14375	14375	
190	14375	14375	
191	14375	14375	
192	14375	14375	
193	14375	14375	
194	14375	14375	
195	14375	14375	
196	14375	14375	
197	14375	14375	
198	14375	14375	
199	14375	14375	
200	14375	14375	
201	14375	14375	
202	14375	14375	
