jeu_100_75_2.txt_3_currentFirst	jeu_100_75_2.txt_3_bestFirst	jeu_100_75_2.txt_3_currentBest	jeu_100_75_2.txt_3_bestBest	
0	-96.3333	-96.3333	-47.3333	-47.3333	
1	-96.3333	-96.3333	-47.3333	-47.3333	
2	-27.3333	-27.3333	-14.3333	-14.3333	
3	-19.3333	-19.3333	38553	38553	
4	-15.3333	-15.3333	39806	39806	
5	31818	31818	41056	41056	
6	31966	31966	42247	42247	
7	32846	32846	43471	43471	
8	33146	33146	44654	44654	
9	33244	33244	45806	45806	
10	33250	33250	46927	46927	
11	34245	34245	47928	47928	
12	35265	35265	48268	48268	
13	36127	36127	48364	48364	
14	37045	37045	48439	48439	
15	38371	38371	48596	48596	
16	39902	39902	48635	48635	
17	40211	40211	48800	48800	
18	40867	40867	-47.3333	48800	
19	41771	41771	38949	48800	
20	42483	42483	40341	48800	
21	43198	43198	41637	48800	
22	44108	44108	42543	48800	
23	44369	44369	43458	48800	
24	44435	44435	44335	48800	
25	44704	44704	45225	48800	
26	44786	44786	46199	48800	
27	44990	44990	47232	48800	
28	45066	45066	48091	48800	
29	46221	46221	48843	48843	
30	47235	47235	-47.3333	48843	
31	47318	47318	-49.3333	48843	
32	-96.3333	47318	36521	48843	
33	-121.333	47318	37711	48843	
34	-93.3333	47318	38792	48843	
35	-67.3333	47318	39874	48843	
36	-19.3333	47318	41029	48843	
37	33825	47318	42164	48843	
38	34472	47318	43328	48843	
39	34742	47318	44540	48843	
40	35296	47318	45732	48843	
41	36101	47318	46886	48843	
42	36163	47318	47849	48843	
43	36812	47318	48659	48843	
44	37695	47318	49005	49005	
45	37752	47318	49650	49650	
46	37929	47318	49826	49826	
47	38429	47318	50083	50083	
48	38442	47318	50153	50153	
49	38461	47318	50237	50237	
50	38484	47318	50343	50343	
51	38798	47318	50455	50455	
52	38801	47318	-47.3333	50455	
53	38826	47318	-104.333	50455	
54	40090	47318	-54.3333	50455	
55	40188	47318	-4.33333	50455	
56	40264	47318	40226	50455	
57	41303	47318	41526	50455	
58	41523	47318	42868	50455	
59	42669	47318	44208	50455	
60	43765	47318	45443	50455	
61	44099	47318	46657	50455	
62	44320	47318	47839	50455	
63	45422	47318	48918	50455	
64	45458	47318	49731	50455	
65	45563	47318	50061	50455	
66	45848	47318	50203	50455	
67	46003	47318	50411	50455	
68	46010	47318	50587	50587	
69	46032	47318	51133	51133	
70	46111	47318	51575	51575	
71	46198	47318	51831	51831	
72	47282	47318	52081	52081	
73	47352	47352	52105	52105	
74	47392	47392	52309	52309	
75	47533	47533	52421	52421	
76	-96.3333	47533	52488	52488	
77	-2.33333	47533	52489	52489	
78	35842	47533	52783	52783	
79	36014	47533	52902	52902	
80	36118	47533	-47.3333	52902	
81	36152	47533	-193.333	52902	
82	37226	47533	-143.333	52902	
83	38135	47533	-93.3333	52902	
84	38187	47533	-78.3333	52902	
85	38244	47533	-71.3333	52902	
86	38349	47533	-41.3333	52902	
87	39242	47533	-32.3333	52902	
88	39978	47533	-1.33333	52902	
89	40038	47533	33109	52902	
90	41047	47533	34490	52902	
91	41999	47533	35782	52902	
92	42158	47533	36969	52902	
93	43068	47533	38134	52902	
94	-96.3333	47533	39197	52902	
95	-106.333	47533	40060	52902	
96	-93.3333	47533	40899	52902	
97	-46.3333	47533	41671	52902	
98	-21.3333	47533	42437	52902	
99	-18.3333	47533	43242	52902	
100	-11.3333	47533	44029	52902	
101	37980	47533	44899	52902	
102	37996	47533	45788	52902	
103	38149	47533	46751	52902	
104	38482	47533	47652	52902	
105	38714	47533	48552	52902	
106	38968	47533	49211	52902	
107	39060	47533	49249	52902	
108	39079	47533	49327	52902	
109	39675	47533	49327	52902	
110	40502	47533	49327	52902	
111	41387	47533	49327	52902	
112	42499	47533	49327	52902	
113	42921	47533	49327	52902	
114	43032	47533	49327	52902	
115	43957	47533	49327	52902	
116	45236	47533	49327	52902	
117	-96.3333	47533	49327	52902	
118	30971	47533	49327	52902	
119	32005	47533	49327	52902	
120	32103	47533	49327	52902	
121	33025	47533	49327	52902	
122	33213	47533	49327	52902	
123	34169	47533	49327	52902	
124	34360	47533	49327	52902	
125	34514	47533	49327	52902	
126	34530	47533	49327	52902	
127	35036	47533	49327	52902	
128	35594	47533	49327	52902	
129	35854	47533	49327	52902	
130	36916	47533	49327	52902	
131	37776	47533	49327	52902	
132	37947	47533	49327	52902	
133	38031	47533	49327	52902	
134	38919	47533	49327	52902	
135	39144	47533	49327	52902	
136	39422	47533	49327	52902	
137	39436	47533	49327	52902	
138	39679	47533	49327	52902	
139	39769	47533	49327	52902	
140	41140	47533	49327	52902	
141	41356	47533	49327	52902	
142	41487	47533	49327	52902	
143	42532	47533	49327	52902	
144	43804	47533	49327	52902	
145	43933	47533	49327	52902	
146	45005	47533	49327	52902	
147	46335	47533	49327	52902	
148	46335	47533	49327	52902	
