jeu_100_25_4.txt_3_currentFirst	jeu_100_25_4.txt_3_bestFirst	jeu_100_25_4.txt_3_currentBest	jeu_100_25_4.txt_3_bestBest	
0	11917	11917	10883	10883	
1	11917	11917	10883	10883	
2	11593	11917	-121.733	10883	
3	11635	11917	-71.7333	10883	
4	11656	11917	-43.7333	10883	
5	11925	11925	-30.7333	10883	
6	12209	12209	-8.73333	10883	
7	12563	12563	14015	14015	
8	12716	12716	14442	14442	
9	13063	13063	14865	14865	
10	13364	13364	15106	15106	
11	13723	13723	15379	15379	
12	14202	14202	15694	15694	
13	14276	14276	16037	16037	
14	14507	14507	16344	16344	
15	14667	14667	16666	16666	
16	14682	14682	17012	17012	
17	15062	15062	17348	17348	
18	15543	15543	17551	17551	
19	15801	15801	17670	17670	
20	16135	16135	17812	17812	
21	16421	16421	17913	17913	
22	16527	16527	17976	17976	
23	16740	16740	10883	17976	
24	16986	16986	-32.7333	17976	
25	17310	17310	12625	17976	
26	17460	17460	13188	17976	
27	17486	17486	13692	17976	
28	17728	17728	14233	17976	
29	11917	17728	14739	17976	
30	-61.7333	17728	15271	17976	
31	-27.7333	17728	15696	17976	
32	-10.7333	17728	16123	17976	
33	10014	17728	16549	17976	
34	10477	17728	16904	17976	
35	10826	17728	17187	17976	
36	10833	17728	17290	17976	
37	10901	17728	17370	17976	
38	11072	17728	17530	17976	
39	11423	17728	17744	17976	
40	11612	17728	17812	17976	
41	11648	17728	17846	17976	
42	11827	17728	17900	17976	
43	11891	17728	18270	18270	
44	12027	17728	10883	18270	
45	12099	17728	-34.7333	18270	
46	12156	17728	-24.7333	18270	
47	12498	17728	-20.7333	18270	
48	12862	17728	13370	18270	
49	12911	17728	13926	18270	
50	13128	17728	14276	18270	
51	13377	17728	14499	18270	
52	13858	17728	14514	18270	
53	14360	17728	14531	18270	
54	14652	17728	10883	18270	
55	15191	17728	-22.7333	18270	
56	15436	17728	14628	18270	
57	15591	17728	15222	18270	
58	11917	17728	15774	18270	
59	13237	17728	16298	18270	
60	13246	17728	16788	18270	
61	13314	17728	17258	18270	
62	13623	17728	17663	18270	
63	13850	17728	18063	18270	
64	13974	17728	18445	18445	
65	13996	17728	18447	18447	
66	14195	17728	18589	18589	
67	14436	17728	10883	18589	
68	14469	17728	-121.733	18589	
69	14577	17728	-71.7333	18589	
70	14984	17728	-22.7333	18589	
71	15088	17728	15565	18589	
72	15136	17728	16128	18589	
73	15390	17728	16680	18589	
74	15632	17728	17207	18589	
75	15817	17728	17648	18589	
76	15981	17728	18107	18589	
77	16304	17728	18224	18589	
78	16755	17728	18364	18589	
79	16998	17728	18803	18803	
80	17208	17728	18894	18894	
81	17545	17728	18894	18894	
82	17716	17728	18894	18894	
83	17873	17873	18894	18894	
84	17910	17910	18894	18894	
85	18171	18171	18894	18894	
86	18190	18190	18894	18894	
87	18240	18240	18894	18894	
88	18275	18275	18894	18894	
89	18469	18469	18894	18894	
90	18522	18522	18894	18894	
91	11917	18522	18894	18894	
92	-151.733	18522	18894	18894	
93	-132.733	18522	18894	18894	
94	-116.733	18522	18894	18894	
95	-67.7333	18522	18894	18894	
96	-43.7333	18522	18894	18894	
97	-40.7333	18522	18894	18894	
98	-3.73333	18522	18894	18894	
99	11756	18522	18894	18894	
100	11790	18522	18894	18894	
101	12207	18522	18894	18894	
102	12441	18522	18894	18894	
103	12445	18522	18894	18894	
104	12543	18522	18894	18894	
105	12971	18522	18894	18894	
106	13218	18522	18894	18894	
107	13371	18522	18894	18894	
108	13591	18522	18894	18894	
109	13858	18522	18894	18894	
110	14125	18522	18894	18894	
111	14375	18522	18894	18894	
112	14905	18522	18894	18894	
113	15044	18522	18894	18894	
114	15112	18522	18894	18894	
115	15200	18522	18894	18894	
116	15498	18522	18894	18894	
117	15636	18522	18894	18894	
118	15719	18522	18894	18894	
119	16330	18522	18894	18894	
120	16602	18522	18894	18894	
121	11917	18522	18894	18894	
122	-114.733	18522	18894	18894	
123	-93.7333	18522	18894	18894	
124	-64.7333	18522	18894	18894	
125	-23.7333	18522	18894	18894	
126	13552	18522	18894	18894	
127	13654	18522	18894	18894	
128	13758	18522	18894	18894	
129	13907	18522	18894	18894	
130	14271	18522	18894	18894	
131	14506	18522	18894	18894	
132	14593	18522	18894	18894	
133	14935	18522	18894	18894	
134	15298	18522	18894	18894	
135	15325	18522	18894	18894	
136	15817	18522	18894	18894	
137	15834	18522	18894	18894	
138	16072	18522	18894	18894	
139	16327	18522	18894	18894	
140	16508	18522	18894	18894	
141	16596	18522	18894	18894	
142	16596	18522	18894	18894	
