jeu_200_75_5.txt_3_currentFirst	jeu_200_75_5.txt_3_bestFirst	jeu_200_75_5.txt_3_currentBest	jeu_200_75_5.txt_3_bestBest	
0	131988	131988	-93.7333	-93.7333	
1	131988	131988	-93.7333	-93.7333	
2	-168.733	131988	-26.7333	-26.7333	
3	-159.733	131988	-8.73333	-8.73333	
4	-141.733	131988	-93.7333	-8.73333	
5	-112.733	131988	-14.7333	-8.73333	
6	-80.7333	131988	150825	150825	
7	-33.7333	131988	153218	153218	
8	-31.7333	131988	155448	155448	
9	-28.7333	131988	157698	157698	
10	124710	131988	159894	159894	
11	125990	131988	162143	162143	
12	127425	131988	164321	164321	
13	127429	131988	166595	166595	
14	128686	131988	168758	168758	
15	129948	131988	171002	171002	
16	130256	131988	173159	173159	
17	130326	131988	175389	175389	
18	130446	131988	177623	177623	
19	131447	131988	179863	179863	
20	133061	133061	182103	182103	
21	133157	133157	184292	184292	
22	133250	133250	184541	184541	
23	134104	134104	184610	184610	
24	135470	135470	184723	184723	
25	137001	137001	-93.7333	184723	
26	137606	137606	-85.7333	184723	
27	137621	137621	-35.7333	184723	
28	138981	138981	154905	184723	
29	140334	140334	157496	184723	
30	142037	142037	160031	184723	
31	142227	142227	162565	184723	
32	144059	144059	165120	184723	
33	145685	145685	167416	184723	
34	147039	147039	169645	184723	
35	147490	147490	171718	184723	
36	147811	147811	173435	184723	
37	149674	149674	-93.7333	184723	
38	151297	151297	-143.733	184723	
39	153247	153247	-93.7333	184723	
40	155284	155284	-43.7333	184723	
41	156915	156915	133946	184723	
42	157232	157232	136120	184723	
43	157302	157302	138247	184723	
44	157356	157356	140364	184723	
45	157522	157522	142462	184723	
46	159390	159390	144555	184723	
47	159462	159462	146662	184723	
48	159720	159720	148862	184723	
49	159801	159801	151069	184723	
50	159818	159818	153243	184723	
51	162015	162015	155294	184723	
52	164336	164336	157263	184723	
53	164712	164712	159243	184723	
54	166708	166708	161271	184723	
55	166711	166711	163286	184723	
56	166959	166959	165338	184723	
57	169121	169121	167456	184723	
58	169279	169279	169579	184723	
59	171129	171129	171703	184723	
60	173265	173265	173850	184723	
61	175492	175492	176024	184723	
62	177676	177676	178177	184723	
63	178350	178350	180408	184723	
64	131988	178350	182705	184723	
65	135592	178350	184995	184995	
66	135627	178350	187293	187293	
67	137908	178350	189575	189575	
68	138262	178350	191771	191771	
69	139912	178350	192544	192544	
70	140071	178350	193092	193092	
71	142232	178350	193339	193339	
72	144433	178350	193400	193400	
73	145074	178350	193527	193527	
74	145351	178350	193859	193859	
75	145982	178350	194095	194095	
76	147520	178350	-93.7333	194095	
77	147676	178350	127880	194095	
78	147696	178350	130444	194095	
79	147990	178350	133047	194095	
80	150307	178350	135571	194095	
81	152427	178350	138109	194095	
82	154595	178350	140598	194095	
83	155032	178350	143145	194095	
84	156917	178350	145744	194095	
85	158611	178350	148336	194095	
86	160192	178350	150874	194095	
87	160282	178350	153455	194095	
88	161834	178350	156048	194095	
89	164111	178350	158665	194095	
90	166136	178350	161103	194095	
91	166674	178350	163446	194095	
92	168688	178350	165521	194095	
93	170751	178350	167594	194095	
94	172819	178350	169711	194095	
95	174512	178350	171764	194095	
96	176501	178350	173858	194095	
97	178421	178421	175984	194095	
98	178835	178835	178163	194095	
99	180488	180488	180429	194095	
100	181163	181163	182455	194095	
101	181271	181271	184361	194095	
102	181368	181368	186208	194095	
103	183208	183208	186355	194095	
104	131988	183208	186355	194095	
105	-142.733	183208	186355	194095	
106	-138.733	183208	186355	194095	
107	-122.733	183208	186355	194095	
108	-73.7333	183208	186355	194095	
109	-36.7333	183208	186355	194095	
110	-11.7333	183208	186355	194095	
111	136208	183208	186355	194095	
112	137614	183208	186355	194095	
113	137747	183208	186355	194095	
114	137790	183208	186355	194095	
115	138399	183208	186355	194095	
116	140211	183208	186355	194095	
117	140508	183208	186355	194095	
118	142493	183208	186355	194095	
119	144053	183208	186355	194095	
120	145954	183208	186355	194095	
121	147641	183208	186355	194095	
122	150043	183208	186355	194095	
123	150124	183208	186355	194095	
124	150705	183208	186355	194095	
125	152374	183208	186355	194095	
126	154090	183208	186355	194095	
127	154452	183208	186355	194095	
128	154966	183208	186355	194095	
129	155493	183208	186355	194095	
130	155906	183208	186355	194095	
131	156004	183208	186355	194095	
132	158154	183208	186355	194095	
133	158237	183208	186355	194095	
134	160346	183208	186355	194095	
135	160559	183208	186355	194095	
136	160685	183208	186355	194095	
137	162611	183208	186355	194095	
138	165033	183208	186355	194095	
139	165272	183208	186355	194095	
140	167028	183208	186355	194095	
141	167388	183208	186355	194095	
142	167957	183208	186355	194095	
143	168174	183208	186355	194095	
144	169950	183208	186355	194095	
145	169963	183208	186355	194095	
146	170029	183208	186355	194095	
147	171477	183208	186355	194095	
148	173473	183208	186355	194095	
149	131988	183208	186355	194095	
150	-280.733	183208	186355	194095	
151	-237.733	183208	186355	194095	
152	-192.733	183208	186355	194095	
153	-158.733	183208	186355	194095	
154	-127.733	183208	186355	194095	
155	-82.7333	183208	186355	194095	
156	-62.7333	183208	186355	194095	
157	-16.7333	183208	186355	194095	
158	-1.73333	183208	186355	194095	
159	154698	183208	186355	194095	
160	156561	183208	186355	194095	
161	156964	183208	186355	194095	
162	159105	183208	186355	194095	
163	160856	183208	186355	194095	
164	162821	183208	186355	194095	
165	162978	183208	186355	194095	
166	163009	183208	186355	194095	
167	163301	183208	186355	194095	
168	163578	183208	186355	194095	
169	163588	183208	186355	194095	
170	163811	183208	186355	194095	
171	163829	183208	186355	194095	
172	165420	183208	186355	194095	
173	167170	183208	186355	194095	
174	169044	183208	186355	194095	
175	171557	183208	186355	194095	
176	171678	183208	186355	194095	
177	171872	183208	186355	194095	
178	174141	183208	186355	194095	
179	176057	183208	186355	194095	
180	176076	183208	186355	194095	
181	178231	183208	186355	194095	
182	178523	183208	186355	194095	
183	178749	183208	186355	194095	
184	178888	183208	186355	194095	
185	179441	183208	186355	194095	
186	179971	183208	186355	194095	
187	181807	183208	186355	194095	
188	184447	184447	186355	194095	
189	184895	184895	186355	194095	
190	184962	184962	186355	194095	
191	187635	187635	186355	194095	
192	189622	189622	186355	194095	
193	192750	192750	186355	194095	
194	193368	193368	186355	194095	
195	195164	195164	186355	194095	
196	131988	195164	186355	194095	
197	-111.733	195164	186355	194095	
198	-64.7333	195164	186355	194095	
199	-14.7333	195164	186355	194095	
200	112769	195164	186355	194095	
201	114252	195164	186355	194095	
202	114507	195164	186355	194095	
203	114800	195164	186355	194095	
204	114913	195164	186355	194095	
205	116670	195164	186355	194095	
206	116758	195164	186355	194095	
207	118027	195164	186355	194095	
208	119544	195164	186355	194095	
209	121171	195164	186355	194095	
210	122885	195164	186355	194095	
211	123209	195164	186355	194095	
212	125020	195164	186355	194095	
213	125633	195164	186355	194095	
214	127427	195164	186355	194095	
215	129135	195164	186355	194095	
216	130801	195164	186355	194095	
217	132408	195164	186355	194095	
218	133888	195164	186355	194095	
219	133979	195164	186355	194095	
220	134029	195164	186355	194095	
221	134296	195164	186355	194095	
222	136223	195164	186355	194095	
223	138393	195164	186355	194095	
224	140133	195164	186355	194095	
225	140181	195164	186355	194095	
226	141955	195164	186355	194095	
227	142425	195164	186355	194095	
228	142442	195164	186355	194095	
229	142702	195164	186355	194095	
230	143013	195164	186355	194095	
231	143287	195164	186355	194095	
232	143385	195164	186355	194095	
233	143408	195164	186355	194095	
234	143818	195164	186355	194095	
235	143845	195164	186355	194095	
236	144066	195164	186355	194095	
237	146134	195164	186355	194095	
238	147832	195164	186355	194095	
239	149615	195164	186355	194095	
240	151821	195164	186355	194095	
241	153865	195164	186355	194095	
242	154259	195164	186355	194095	
243	154587	195164	186355	194095	
244	154781	195164	186355	194095	
245	156692	195164	186355	194095	
246	157187	195164	186355	194095	
247	157702	195164	186355	194095	
248	158800	195164	186355	194095	
249	160605	195164	186355	194095	
250	162533	195164	186355	194095	
251	162550	195164	186355	194095	
252	162663	195164	186355	194095	
253	162789	195164	186355	194095	
254	164754	195164	186355	194095	
255	166343	195164	186355	194095	
256	167711	195164	186355	194095	
257	169779	195164	186355	194095	
258	171569	195164	186355	194095	
259	173072	195164	186355	194095	
260	173567	195164	186355	194095	
261	174369	195164	186355	194095	
