jeu_100_75_2.txt_5_currentFirst	jeu_100_75_2.txt_5_bestFirst	jeu_100_75_2.txt_5_currentBest	jeu_100_75_2.txt_5_bestBest	
0	-118.2	-118.2	-227.2	-227.2	
1	-118.2	-118.2	-227.2	-227.2	
2	-199.2	-118.2	-221.2	-221.2	
3	-191.2	-118.2	-171.2	-171.2	
4	-160.2	-118.2	-121.2	-121.2	
5	-141.2	-118.2	-74.2	-74.2	
6	-95.2	-95.2	-71.2	-71.2	
7	-69.2	-69.2	-31.2	-31.2	
8	-60.2	-60.2	-21.2	-21.2	
9	-38.2	-38.2	-227.2	-21.2	
10	-12.2	-12.2	-139.2	-21.2	
11	22993	22993	-119.2	-21.2	
12	23426	23426	-99.2	-21.2	
13	24257	24257	-76.2	-21.2	
14	24931	24931	-49.2	-21.2	
15	25093	25093	-39.2	-21.2	
16	25455	25455	-25.2	-21.2	
17	26074	26074	-16.2	-16.2	
18	26364	26364	-14.2	-14.2	
19	26951	26951	24239	24239	
20	27617	27617	25121	25121	
21	27956	27956	25974	25974	
22	28599	28599	26693	26693	
23	28808	28808	27348	27348	
24	28921	28921	27862	27862	
25	29235	29235	28415	28415	
26	29485	29485	29018	29018	
27	29701	29701	29651	29651	
28	30392	30392	30019	30019	
29	-118.2	30392	30904	30904	
30	-124.2	30392	31108	31108	
31	-93.2	30392	31398	31398	
32	-84.2	30392	31482	31482	
33	-74.2	30392	-227.2	31482	
34	-54.2	30392	-104.2	31482	
35	-51.2	30392	-102.2	31482	
36	-45.2	30392	-60.2	31482	
37	-28.2	30392	-227.2	31482	
38	-11.2	30392	-136.2	31482	
39	22740	30392	-227.2	31482	
40	23056	30392	-215.2	31482	
41	23666	30392	-165.2	31482	
42	24398	30392	-163.2	31482	
43	24429	30392	-147.2	31482	
44	24997	30392	-128.2	31482	
45	25423	30392	-114.2	31482	
46	26041	30392	-112.2	31482	
47	26476	30392	-80.2	31482	
48	27323	30392	-78.2	31482	
49	27432	30392	-77.2	31482	
50	27563	30392	-75.2	31482	
51	28145	30392	-46.2	31482	
52	28205	30392	-40.2	31482	
53	28345	30392	-37.2	31482	
54	28939	30392	-18.2	31482	
55	29041	30392	-5.2	31482	
56	29648	30392	21627	31482	
57	29659	30392	22556	31482	
58	29919	30392	23491	31482	
59	29975	30392	24353	31482	
60	30327	30392	25163	31482	
61	30520	30520	25933	31482	
62	30724	30724	26663	31482	
63	30813	30813	27360	31482	
64	30814	30814	27986	31482	
65	31506	31506	28604	31482	
66	32035	32035	29194	31482	
67	-118.2	32035	29776	31482	
68	-221.2	32035	30281	31482	
69	-183.2	32035	30748	31482	
70	-144.2	32035	31212	31482	
71	-108.2	32035	31740	31740	
72	-76.2	32035	32198	32198	
73	-41.2	32035	32253	32253	
74	-29.2	32035	32625	32625	
75	-14.2	32035	32799	32799	
76	-1.2	32035	32904	32904	
77	20725	32035	33097	33097	
78	20925	32035	33097	33097	
79	21437	32035	33097	33097	
80	21680	32035	33097	33097	
81	21829	32035	33097	33097	
82	22206	32035	33097	33097	
83	22747	32035	33097	33097	
84	23324	32035	33097	33097	
85	23416	32035	33097	33097	
86	23579	32035	33097	33097	
87	23982	32035	33097	33097	
88	23987	32035	33097	33097	
89	24263	32035	33097	33097	
90	25152	32035	33097	33097	
91	25673	32035	33097	33097	
92	25712	32035	33097	33097	
93	26297	32035	33097	33097	
94	26703	32035	33097	33097	
95	26716	32035	33097	33097	
96	26735	32035	33097	33097	
97	27163	32035	33097	33097	
98	27628	32035	33097	33097	
99	27872	32035	33097	33097	
100	27909	32035	33097	33097	
101	27978	32035	33097	33097	
102	28539	32035	33097	33097	
103	28907	32035	33097	33097	
104	29057	32035	33097	33097	
105	29075	32035	33097	33097	
106	29172	32035	33097	33097	
107	29206	32035	33097	33097	
108	29318	32035	33097	33097	
109	29717	32035	33097	33097	
110	29864	32035	33097	33097	
111	29900	32035	33097	33097	
112	30328	32035	33097	33097	
113	30415	32035	33097	33097	
114	30817	32035	33097	33097	
115	30943	32035	33097	33097	
116	31366	32035	33097	33097	
117	31452	32035	33097	33097	
118	31454	32035	33097	33097	
119	-118.2	32035	33097	33097	
120	-222.2	32035	33097	33097	
121	-219.2	32035	33097	33097	
122	-216.2	32035	33097	33097	
123	-189.2	32035	33097	33097	
124	-173.2	32035	33097	33097	
125	-168.2	32035	33097	33097	
126	-139.2	32035	33097	33097	
127	-126.2	32035	33097	33097	
128	-114.2	32035	33097	33097	
129	-113.2	32035	33097	33097	
130	-106.2	32035	33097	33097	
131	-92.2	32035	33097	33097	
132	-86.2	32035	33097	33097	
133	-81.2	32035	33097	33097	
134	-62.2	32035	33097	33097	
135	-39.2	32035	33097	33097	
