jeu_200_25_8.txt_3_currentFirst	jeu_200_25_8.txt_3_bestFirst	jeu_200_25_8.txt_3_currentBest	jeu_200_25_8.txt_3_bestBest	
0	43783	43783	-90.7333	-90.7333	
1	43783	43783	-90.7333	-90.7333	
2	-135.733	43783	-9.73333	-9.73333	
3	-126.733	43783	39042	39042	
4	-121.733	43783	40241	40241	
5	-74.7333	43783	41296	41296	
6	-59.7333	43783	42299	42299	
7	-47.7333	43783	43216	43216	
8	-35.7333	43783	44063	44063	
9	-31.7333	43783	44896	44896	
10	42768	43783	45692	45692	
11	43329	43783	46467	46467	
12	43796	43796	47300	47300	
13	44054	44054	48107	48107	
14	44118	44118	48882	48882	
15	44599	44599	49692	49692	
16	44851	44851	50498	50498	
17	45330	45330	51295	51295	
18	45548	45548	52041	52041	
19	45733	45733	52783	52783	
20	46545	46545	53604	53604	
21	46629	46629	54397	54397	
22	46643	46643	55200	55200	
23	46818	46818	56037	56037	
24	47353	47353	56863	56863	
25	48002	48002	57627	57627	
26	48075	48075	58366	58366	
27	48084	48084	59152	59152	
28	48326	48326	59779	59779	
29	48932	48932	-90.7333	59779	
30	49005	49005	42203	59779	
31	49644	49644	43368	59779	
32	50459	50459	44489	59779	
33	50513	50513	45585	59779	
34	51240	51240	46750	59779	
35	51577	51577	47936	59779	
36	51760	51760	49000	59779	
37	51970	51970	50052	59779	
38	52133	52133	50982	59779	
39	52825	52825	51845	59779	
40	53340	53340	52655	59779	
41	54420	54420	53459	59779	
42	54427	54427	54263	59779	
43	55058	55058	55099	59779	
44	55075	55075	55902	59779	
45	55426	55426	56747	59779	
46	55780	55780	57590	59779	
47	56138	56138	58431	59779	
48	56203	56203	59235	59779	
49	56328	56328	60029	60029	
50	56388	56388	60820	60820	
51	57118	57118	61568	61568	
52	57446	57446	62038	62038	
53	58068	58068	-90.7333	62038	
54	58723	58723	47926	62038	
55	59213	59213	48969	62038	
56	59259	59259	49956	62038	
57	59331	59331	50898	62038	
58	59937	59937	51815	62038	
59	60017	60017	52773	62038	
60	60731	60731	53729	62038	
61	60959	60959	54619	62038	
62	61217	61217	55578	62038	
63	61434	61434	56436	62038	
64	61819	61819	57357	62038	
65	61993	61993	58267	62038	
66	62987	62987	59144	62038	
67	63490	63490	60037	62038	
68	64434	64434	60954	62038	
69	64622	64622	61804	62038	
70	65233	65233	62660	62660	
71	43783	65233	63538	63538	
72	-76.7333	65233	64262	64262	
73	-44.7333	65233	64951	64951	
74	-30.7333	65233	65088	65088	
75	41976	65233	-90.7333	65088	
76	42067	65233	-53.7333	65088	
77	42460	65233	-3.73333	65088	
78	42904	65233	43939	65088	
79	43435	65233	44988	65088	
80	43527	65233	46035	65088	
81	43620	65233	47033	65088	
82	43736	65233	48011	65088	
83	44189	65233	49047	65088	
84	44785	65233	50095	65088	
85	45701	65233	51092	65088	
86	45860	65233	52068	65088	
87	46029	65233	53033	65088	
88	46290	65233	53983	65088	
89	46299	65233	54980	65088	
90	46915	65233	55923	65088	
91	47205	65233	56766	65088	
92	47932	65233	57587	65088	
93	48389	65233	58466	65088	
94	48522	65233	59284	65088	
95	48777	65233	60138	65088	
96	48931	65233	60947	65088	
97	49146	65233	61666	65088	
98	49344	65233	62355	65088	
99	49426	65233	62571	65088	
100	50132	65233	62571	65088	
101	50273	65233	62571	65088	
102	50319	65233	62571	65088	
103	50777	65233	62571	65088	
104	50782	65233	62571	65088	
105	51217	65233	62571	65088	
106	51952	65233	62571	65088	
107	52449	65233	62571	65088	
108	52984	65233	62571	65088	
109	53254	65233	62571	65088	
110	53379	65233	62571	65088	
111	53594	65233	62571	65088	
112	54311	65233	62571	65088	
113	54387	65233	62571	65088	
114	54867	65233	62571	65088	
115	55550	65233	62571	65088	
116	55670	65233	62571	65088	
117	56316	65233	62571	65088	
118	56533	65233	62571	65088	
119	57258	65233	62571	65088	
120	57479	65233	62571	65088	
121	58332	65233	62571	65088	
122	59131	65233	62571	65088	
123	59649	65233	62571	65088	
124	59704	65233	62571	65088	
125	60285	65233	62571	65088	
126	60449	65233	62571	65088	
127	60606	65233	62571	65088	
128	60647	65233	62571	65088	
129	61286	65233	62571	65088	
130	61457	65233	62571	65088	
131	61755	65233	62571	65088	
132	62080	65233	62571	65088	
133	62405	65233	62571	65088	
134	62550	65233	62571	65088	
135	62767	65233	62571	65088	
136	63318	65233	62571	65088	
137	63322	65233	62571	65088	
138	63687	65233	62571	65088	
139	63714	65233	62571	65088	
140	64125	65233	62571	65088	
141	64428	65233	62571	65088	
142	64596	65233	62571	65088	
143	65633	65633	62571	65088	
144	43783	65633	62571	65088	
145	45454	65633	62571	65088	
146	45775	65633	62571	65088	
147	46126	65633	62571	65088	
148	46217	65633	62571	65088	
149	46634	65633	62571	65088	
150	46689	65633	62571	65088	
151	46949	65633	62571	65088	
152	46957	65633	62571	65088	
153	46974	65633	62571	65088	
154	47574	65633	62571	65088	
155	48128	65633	62571	65088	
156	48234	65633	62571	65088	
157	48343	65633	62571	65088	
158	48390	65633	62571	65088	
159	48884	65633	62571	65088	
160	49764	65633	62571	65088	
161	49905	65633	62571	65088	
162	50156	65633	62571	65088	
163	50900	65633	62571	65088	
164	51685	65633	62571	65088	
165	51845	65633	62571	65088	
166	52515	65633	62571	65088	
