jeu_100_25_4.txt_5_currentFirst	jeu_100_25_4.txt_5_bestFirst	jeu_100_25_4.txt_5_currentBest	jeu_100_25_4.txt_5_bestBest	
0	-130.44	-130.44	-81.44	-81.44	
1	-130.44	-130.44	-81.44	-81.44	
2	-166.44	-130.44	-351.44	-81.44	
3	-117.44	-117.44	-302.44	-81.44	
4	-76.44	-76.44	-253.44	-81.44	
5	-38.44	-38.44	-204.44	-81.44	
6	-30.44	-30.44	-155.44	-81.44	
7	-13.44	-13.44	-106.44	-81.44	
8	7798	7798	-59.44	-59.44	
9	7878	7878	-13.44	-13.44	
10	7969	7969	10550	10550	
11	8094	8094	10968	10968	
12	8250	8250	11370	11370	
13	8494	8494	11769	11769	
14	8770	8770	12144	12144	
15	8935	8935	12498	12498	
16	8944	8944	12824	12824	
17	8996	8996	13155	13155	
18	9065	9065	13452	13452	
19	9262	9262	13738	13738	
20	9346	9346	13930	13930	
21	9358	9358	14130	14130	
22	9677	9677	14302	14302	
23	9901	9901	14401	14401	
24	10049	10049	14508	14508	
25	10095	10095	14608	14608	
26	10228	10228	14796	14796	
27	10420	10420	14863	14863	
28	10528	10528	14902	14902	
29	10752	10752	14958	14958	
30	10783	10783	15020	15020	
31	10980	10980	15056	15056	
32	11055	11055	15127	15127	
33	11154	11154	15283	15283	
34	11170	11170	15615	15615	
35	11435	11435	-81.44	15615	
36	11771	11771	-102.44	15615	
37	11920	11920	-79.44	15615	
38	11934	11934	-60.44	15615	
39	11972	11972	-50.44	15615	
40	12055	12055	-20.44	15615	
41	12057	12057	-1.44	15615	
42	12108	12108	-0.44	15615	
43	12117	12117	8899	15615	
44	-130.44	12117	9255	15615	
45	-89.44	12117	9602	15615	
46	-84.44	12117	9920	15615	
47	-67.44	12117	10240	15615	
48	-51.44	12117	10529	15615	
49	-33.44	12117	10880	15615	
50	-29.44	12117	11164	15615	
51	-4.44	12117	11445	15615	
52	9013	12117	11722	15615	
53	9216	12117	11993	15615	
54	9299	12117	12216	15615	
55	9462	12117	12425	15615	
56	9766	12117	12619	15615	
57	9982	12117	12779	15615	
58	10102	12117	12919	15615	
59	10144	12117	12984	15615	
60	10381	12117	13016	15615	
61	10411	12117	-81.44	15615	
62	10483	12117	-186.44	15615	
63	10640	12117	-139.44	15615	
64	10772	12117	-92.44	15615	
65	10928	12117	-46.44	15615	
66	11104	12117	-81.44	15615	
67	11318	12117	-52.44	15615	
68	11339	12117	-37.44	15615	
69	11342	12117	-30.44	15615	
70	11513	12117	-14.44	15615	
71	11684	12117	-8.44	15615	
72	11847	12117	8178	15615	
73	11948	12117	8605	15615	
74	11979	12117	9023	15615	
75	12002	12117	9364	15615	
76	12003	12117	9683	15615	
77	12100	12117	9986	15615	
78	12129	12129	10280	15615	
79	12148	12148	10556	15615	
80	12161	12161	10790	15615	
81	12321	12321	11017	15615	
82	12361	12361	11305	15615	
83	12402	12402	11504	15615	
84	12497	12497	11700	15615	
85	12551	12551	11904	15615	
86	12650	12650	12091	15615	
87	-130.44	12650	12277	15615	
88	-152.44	12650	12444	15615	
89	-103.44	12650	12587	15615	
90	-74.44	12650	12705	15615	
91	-65.44	12650	12791	15615	
92	-63.44	12650	12865	15615	
93	-59.44	12650	13125	15615	
94	-44.44	12650	-81.44	15615	
95	-27.44	12650	-113.44	15615	
96	-2.44	12650	-92.44	15615	
97	8908	12650	-90.44	15615	
98	9037	12650	-79.44	15615	
99	9311	12650	-63.44	15615	
100	9691	12650	-53.44	15615	
101	9838	12650	-43.44	15615	
102	9915	12650	-37.44	15615	
103	9922	12650	-18.44	15615	
104	10090	12650	-16.44	15615	
105	10164	12650	7751	15615	
106	10422	12650	8194	15615	
107	10599	12650	8594	15615	
108	10810	12650	8974	15615	
109	10913	12650	9335	15615	
110	11211	12650	9723	15615	
111	11349	12650	10117	15615	
112	11441	12650	10465	15615	
113	11527	12650	10795	15615	
114	-130.44	12650	11081	15615	
115	-52.44	12650	11183	15615	
116	-35.44	12650	11183	15615	
117	-33.44	12650	11183	15615	
118	-23.44	12650	11183	15615	
119	-22.44	12650	11183	15615	
120	-17.44	12650	11183	15615	
121	8096	12650	11183	15615	
122	8098	12650	11183	15615	
123	8316	12650	11183	15615	
124	8364	12650	11183	15615	
125	8366	12650	11183	15615	
126	8531	12650	11183	15615	
127	8670	12650	11183	15615	
128	8996	12650	11183	15615	
129	9092	12650	11183	15615	
130	9202	12650	11183	15615	
131	9296	12650	11183	15615	
132	9349	12650	11183	15615	
133	9613	12650	11183	15615	
134	9678	12650	11183	15615	
135	9814	12650	11183	15615	
136	9821	12650	11183	15615	
137	9860	12650	11183	15615	
138	9931	12650	11183	15615	
139	10175	12650	11183	15615	
140	10225	12650	11183	15615	
141	10265	12650	11183	15615	
142	10336	12650	11183	15615	
143	10485	12650	11183	15615	
144	10595	12650	11183	15615	
145	10730	12650	11183	15615	
146	10757	12650	11183	15615	
147	11161	12650	11183	15615	
148	11208	12650	11183	15615	
149	-130.44	12650	11183	15615	
150	-215.44	12650	11183	15615	
151	-192.44	12650	11183	15615	
152	-183.44	12650	11183	15615	
153	-154.44	12650	11183	15615	
154	-121.44	12650	11183	15615	
155	-87.44	12650	11183	15615	
156	-38.44	12650	11183	15615	
157	-19.44	12650	11183	15615	
158	-8.44	12650	11183	15615	
159	8427	12650	11183	15615	
160	8550	12650	11183	15615	
161	8749	12650	11183	15615	
162	8995	12650	11183	15615	
163	9097	12650	11183	15615	
164	9289	12650	11183	15615	
165	9385	12650	11183	15615	
166	9597	12650	11183	15615	
167	9880	12650	11183	15615	
168	10110	12650	11183	15615	
169	10120	12650	11183	15615	
170	10465	12650	11183	15615	
171	10684	12650	11183	15615	
172	10732	12650	11183	15615	
173	10893	12650	11183	15615	
174	11035	12650	11183	15615	
175	11450	12650	11183	15615	
176	11625	12650	11183	15615	
177	11933	12650	11183	15615	
178	12145	12650	11183	15615	
179	12394	12650	11183	15615	
180	12426	12650	11183	15615	
181	12598	12650	11183	15615	
182	12735	12735	11183	15615	
183	13149	13149	11183	15615	
184	13211	13211	11183	15615	
185	13276	13276	11183	15615	
186	13597	13597	11183	15615	
187	13769	13769	11183	15615	
188	13894	13894	11183	15615	
189	13937	13937	11183	15615	
190	13941	13941	11183	15615	
191	13941	13941	11183	15615	
