jeu_200_25_8.txt_5_currentFirst	jeu_200_25_8.txt_5_bestFirst	jeu_200_25_8.txt_5_currentBest	jeu_200_25_8.txt_5_bestBest	
0	-194.84	-194.84	-290.84	-290.84	
1	-194.84	-194.84	-290.84	-290.84	
2	-270.84	-194.84	-376.84	-290.84	
3	-251.84	-194.84	-326.84	-290.84	
4	-248.84	-194.84	-276.84	-276.84	
5	-201.84	-194.84	-226.84	-226.84	
6	-191.84	-191.84	-177.84	-177.84	
7	-187.84	-187.84	-130.84	-130.84	
8	-157.84	-157.84	-96.84	-96.84	
9	-136.84	-136.84	-91.84	-91.84	
10	-130.84	-130.84	-77.84	-77.84	
11	-101.84	-101.84	-76.84	-76.84	
12	-97.84	-97.84	-74.84	-74.84	
13	-66.84	-66.84	-69.84	-69.84	
14	-48.84	-48.84	-67.84	-67.84	
15	-42.84	-42.84	-49.84	-49.84	
16	-40.84	-40.84	-41.84	-41.84	
17	-34.84	-34.84	-37.84	-37.84	
18	-0.84	-0.84	-24.84	-24.84	
19	29067	29067	31752	31752	
20	29690	29690	32685	32685	
21	29963	29963	33504	33504	
22	30475	30475	34179	34179	
23	30637	30637	34842	34842	
24	31123	31123	35457	35457	
25	31638	31638	36007	36007	
26	31817	31817	36532	36532	
27	31952	31952	37098	37098	
28	32261	32261	37618	37618	
29	32541	32541	38178	38178	
30	32705	32705	38715	38715	
31	32739	32739	39228	39228	
32	32819	32819	39740	39740	
33	32960	32960	40328	40328	
34	33286	33286	40692	40692	
35	33362	33362	40983	40983	
36	33391	33391	41244	41244	
37	33499	33499	41541	41541	
38	33722	33722	41846	41846	
39	34240	34240	42354	42354	
40	34408	34408	42597	42597	
41	34791	34791	-290.84	42597	
42	34819	34819	-272.84	42597	
43	35218	35218	-223.84	42597	
44	35632	35632	-174.84	42597	
45	36041	36041	-126.84	42597	
46	36366	36366	-290.84	42597	
47	36438	36438	-333.84	42597	
48	36453	36453	-283.84	42597	
49	36551	36551	-234.84	42597	
50	37068	37068	-229.84	42597	
51	37503	37503	-227.84	42597	
52	37601	37601	-183.84	42597	
53	38014	38014	-180.84	42597	
54	38471	38471	-136.84	42597	
55	38917	38917	-131.84	42597	
56	39126	39126	-90.84	42597	
57	39462	39462	-88.84	42597	
58	39466	39466	-43.84	42597	
59	39543	39543	-42.84	42597	
60	39930	39930	-39.84	42597	
61	39947	39947	-17.84	42597	
62	-194.84	39947	-5.84	42597	
63	-212.84	39947	-4.84	42597	
64	-194.84	39947	32154	42597	
65	-160.84	39947	32810	42597	
66	-140.84	39947	33453	42597	
67	-138.84	39947	34126	42597	
68	-107.84	39947	34762	42597	
69	-71.84	39947	35396	42597	
70	-63.84	39947	36023	42597	
71	-24.84	39947	36673	42597	
72	-22.84	39947	37319	42597	
73	30334	39947	37950	42597	
74	30503	39947	38586	42597	
75	30512	39947	39210	42597	
76	31186	39947	39855	42597	
77	31586	39947	40449	42597	
78	31776	39947	41032	42597	
79	31802	39947	41588	42597	
80	32201	39947	42088	42597	
81	32292	39947	42705	42705	
82	32305	39947	42999	42999	
83	32448	39947	43334	43334	
84	32830	39947	43740	43740	
85	32871	39947	44097	44097	
86	32927	39947	44347	44347	
87	33031	39947	44552	44552	
88	33494	39947	44734	44734	
89	33523	39947	44894	44894	
90	33819	39947	45227	45227	
91	33921	39947	45336	45336	
92	34036	39947	45495	45495	
93	34185	39947	45592	45592	
94	34186	39947	45686	45686	
95	34418	39947	45828	45828	
96	34774	39947	46183	46183	
97	35208	39947	46277	46277	
98	35643	39947	46567	46567	
99	36027	39947	46665	46665	
100	36158	39947	46721	46721	
101	36431	39947	46792	46792	
102	36526	39947	47022	47022	
103	36761	39947	47086	47086	
104	37089	39947	47129	47129	
105	37215	39947	47322	47322	
106	37285	39947	47322	47322	
107	37329	39947	47322	47322	
108	37482	39947	47322	47322	
109	37860	39947	47322	47322	
110	38079	39947	47322	47322	
111	38115	39947	47322	47322	
112	38358	39947	47322	47322	
113	38443	39947	47322	47322	
114	39020	39947	47322	47322	
115	39036	39947	47322	47322	
116	39132	39947	47322	47322	
117	39507	39947	47322	47322	
118	39986	39986	47322	47322	
119	40043	40043	47322	47322	
120	40110	40110	47322	47322	
121	40136	40136	47322	47322	
122	40761	40761	47322	47322	
123	40847	40847	47322	47322	
124	40889	40889	47322	47322	
125	40937	40937	47322	47322	
126	40991	40991	47322	47322	
127	41021	41021	47322	47322	
128	41031	41031	47322	47322	
129	41056	41056	47322	47322	
130	41130	41130	47322	47322	
131	41783	41783	47322	47322	
132	42102	42102	47322	47322	
133	42154	42154	47322	47322	
134	42155	42155	47322	47322	
135	42266	42266	47322	47322	
136	42320	42320	47322	47322	
137	42326	42326	47322	47322	
138	42347	42347	47322	47322	
139	42794	42794	47322	47322	
140	42889	42889	47322	47322	
141	43193	43193	47322	47322	
142	43252	43252	47322	47322	
143	43260	43260	47322	47322	
144	43266	43266	47322	47322	
145	43365	43365	47322	47322	
146	43717	43717	47322	47322	
147	43800	43800	47322	47322	
148	43884	43884	47322	47322	
149	43911	43911	47322	47322	
150	-194.84	43911	47322	47322	
151	-96.84	43911	47322	47322	
152	-60.84	43911	47322	47322	
153	-55.84	43911	47322	47322	
154	-37.84	43911	47322	47322	
155	-34.84	43911	47322	47322	
156	-28.84	43911	47322	47322	
157	-24.84	43911	47322	47322	
158	-21.84	43911	47322	47322	
159	-6.84	43911	47322	47322	
160	33448	43911	47322	47322	
