jeu_200_25_8.txt_5_currentSA	jeu_200_25_8.txt_5_bestSA	jeu_200_25_8.txt_5_currentTS	jeu_200_25_8.txt_5_bestTS	jeu_200_25_8.txt_5_currentGrasp	jeu_200_25_8.txt_5_bestGrasp	jeu_200_25_8.txt_5_currentIG	jeu_200_25_8.txt_5_bestIG	
97	-254.84	-176.84	52623	52623	46965	46965	49834	49834	
98	-298.84	-176.84	52681	52681	47169	47169	50164	50164	
99	-298.84	-176.84	52711	52711	47380	47380	50565	50565	
100	-255.84	-176.84	52702	52711	47572	47572	50936	50936	
101	-255.84	-176.84	52487	52711	47754	47754	51296	51296	
102	-255.84	-176.84	52167	52711	47948	47948	51787	51787	
103	-255.84	-176.84	52167	52711	48115	48115	52154	52154	
104	-252.84	-176.84	52167	52711	48392	48392	52557	52557	
105	-252.84	-176.84	52167	52711	48700	48700	52891	52891	
106	-280.84	-176.84	52167	52711	48941	48941	53207	53207	
107	-280.84	-176.84	52167	52711	49426	49426	53703	53703	
108	-280.84	-176.84	52167	52711	49913	49913	54226	54226	
109	-280.84	-176.84	52167	52711	50434	50434	54694	54694	
110	-280.84	-176.84	52167	52711	50702	50702	55117	55117	
111	-280.84	-176.84	52167	52711	51181	51181	55621	55621	
112	-280.84	-176.84	52167	52711	51535	51535	56028	56028	
113	-280.84	-176.84	52167	52711	51901	51901	56122	56122	
114	-280.84	-176.84	52167	52711	52195	52195	56265	56265	
115	-280.84	-176.84	52167	52711	52436	52436	56453	56453	
116	-280.84	-176.84	52167	52711	52875	52875	56642	56642	
117	-257.84	-176.84	52167	52711	53329	53329	56887	56887	
118	-219.84	-176.84	52167	52711	53981	53981	57060	57060	
119	-219.84	-176.84	52167	52711	54495	54495	57273	57273	
120	-219.84	-176.84	52167	52711	55085	55085	57427	57427	
121	-219.84	-176.84	52167	52711	55429	55429	57603	57603	
122	-219.84	-176.84	52167	52711	55494	55494	57929	57929	
123	-212.84	-176.84	52167	52711	55570	55570	58135	58135	
124	-212.84	-176.84	52167	52711	55650	55650	58421	58421	
125	-212.84	-176.84	52167	52711	55805	55805	58713	58713	
126	-212.84	-176.84	52167	52711	56015	56015	58993	58993	
127	-214.84	-176.84	52167	52711	56156	56156	59229	59229	
128	-214.84	-176.84	52167	52711	56323	56323	59591	59591	
129	-214.84	-176.84	52167	52711	56557	56557	60045	60045	
130	-214.84	-176.84	52167	52711	56814	56814	60502	60502	
131	-214.84	-176.84	52167	52711	57047	57047	61006	61006	
132	-212.84	-176.84	52167	52711	57349	57349	61264	61264	
133	-212.84	-176.84	52167	52711	57706	57706	61496	61496	
134	-212.84	-176.84	52167	52711	57999	57999	61877	61877	
135	-250.84	-176.84	52167	52711	58256	58256	62195	62195	
136	-250.84	-176.84	52167	52711	58541	58541	62450	62450	
137	-250.84	-176.84	52167	52711	58851	58851	62530	62530	
138	-250.84	-176.84	52167	52711	59056	59056	62622	62622	
139	-250.84	-176.84	52167	52711	59405	59405	62775	62775	
140	-250.84	-176.84	52167	52711	59730	59730	63006	63006	
141	-250.84	-176.84	52167	52711	60097	60097	63180	63180	
142	-250.84	-176.84	52167	52711	60468	60468	63356	63356	
143	-227.84	-176.84	52167	52711	60765	60765	63544	63544	
144	-227.84	-176.84	52167	52711	61134	61134	63814	63814	
145	-227.84	-176.84	52167	52711	61595	61595	64101	64101	
