jeu_200_75_5.txt_3_currentACO	jeu_200_75_5.txt_3_bestACO	
0	173078	173078	
1	179688	179688	
2	179522	179688	
3	171647	179688	
4	173413	179688	
5	179688	179688	
6	179688	179688	
7	179688	179688	
8	184086	184086	
9	179688	184086	
10	183069	184086	
11	185261	185261	
12	186815	186815	
13	186230	186815	
14	183069	186815	
15	187386	187386	
16	186815	187386	
17	184694	187386	
18	188058	188058	
19	186815	188058	
20	186815	188058	
21	186815	188058	
22	184694	188058	
23	188611	188611	
24	185514	188611	
25	191411	191411	
26	185253	191411	
27	187449	191411	
28	190798	191411	
29	187515	191411	
30	190003	191411	
31	189094	191411	
32	189492	191411	
33	190403	191411	
34	187519	191411	
35	190292	191411	
36	190197	191411	
37	187523	191411	
38	190611	191411	
39	189057	191411	
40	189063	191411	
41	189630	191411	
42	188964	191411	
43	192288	192288	
44	191411	192288	
45	189302	192288	
46	189909	192288	
47	193513	193513	
48	192415	193513	
49	193876	193876	
50	189167	193876	
51	189603	193876	
52	195682	195682	
53	191275	195682	
54	193759	195682	
55	191280	195682	
56	188597	195682	
57	195682	195682	
58	190683	195682	
59	194362	195682	
60	191176	195682	
61	193660	195682	
62	191107	195682	
63	195189	195682	
64	194343	195682	
65	195682	195682	
66	191421	195682	
67	193470	195682	
68	196311	196311	
69	198012	198012	
70	195682	198012	
71	191247	198012	
72	191485	198012	
73	195953	198012	
74	194277	198012	
75	191670	198012	
76	195682	198012	
77	191499	198012	
78	194962	198012	
79	197568	198012	
80	190609	198012	
81	195933	198012	
82	191850	198012	
83	192688	198012	
84	198012	198012	
85	193968	198012	
86	193272	198012	
87	194351	198012	
88	195406	198012	
89	198012	198012	
90	189095	198012	
91	193272	198012	
92	192204	198012	
93	194126	198012	
94	198012	198012	
95	196621	198012	
96	193272	198012	
97	194600	198012	
98	193734	198012	
99	198400	198400	
100	193621	198400	
101	196589	198400	
102	193175	198400	
103	193734	198400	
104	198400	198400	
105	195902	198400	
106	196360	198400	
107	198400	198400	
108	198254	198400	
109	194221	198400	
110	196674	198400	
111	195503	198400	
112	198400	198400	
113	198012	198400	
114	193906	198400	
115	195515	198400	
116	198400	198400	
117	196380	198400	
118	195633	198400	
119	195452	198400	
120	196214	198400	
121	196169	198400	
122	194280	198400	
123	193797	198400	
124	198400	198400	
125	198400	198400	
126	195219	198400	
127	189318	198400	
128	198400	198400	
129	198400	198400	
130	198400	198400	
131	198400	198400	
132	198400	198400	
133	198400	198400	
134	196420	198400	
135	198400	198400	
136	194557	198400	
137	198400	198400	
138	197584	198400	
139	198400	198400	
140	198400	198400	
141	198400	198400	
142	195001	198400	
143	198400	198400	
144	198400	198400	
145	196013	198400	
146	198400	198400	
147	193986	198400	
148	198400	198400	
149	197391	198400	
150	195452	198400	
151	195552	198400	
152	199589	199589	
153	198400	199589	
154	195552	199589	
155	196310	199589	
156	200550	200550	
157	195295	200550	
158	198483	200550	
159	199267	200550	
160	196626	200550	
161	196053	200550	
162	199267	200550	
163	196373	200550	
164	198744	200550	
165	200550	200550	
166	198191	200550	
167	199393	200550	
168	198262	200550	
169	200154	200550	
170	199079	200550	
171	199267	200550	
172	195613	200550	
173	199589	200550	
174	195427	200550	
175	199293	200550	
176	200550	200550	
177	199936	200550	
178	200550	200550	
179	200550	200550	
180	197975	200550	
181	200550	200550	
182	200550	200550	
183	200815	200815	
184	200550	200815	
185	198215	200815	
186	200949	200949	
187	201655	201655	
188	199589	201655	
189	199293	201655	
190	198582	201655	
191	201863	201863	
192	200280	201863	
193	200550	201863	
194	198980	201863	
195	199228	201863	
196	202115	202115	
197	201989	202115	
198	201863	202115	
199	200999	202115	
200	198727	202115	
201	202115	202115	
202	202115	202115	
203	198348	202115	
204	201260	202115	
205	200493	202115	
206	199307	202115	
207	201655	202115	
208	202115	202115	
209	202568	202568	
210	200815	202568	
211	200217	202568	
212	199830	202568	
213	199916	202568	
214	202317	202568	
215	200535	202568	
