jeu_200_25_8.txt_3_currentACO	jeu_200_25_8.txt_3_bestACO	
0	63035	63035	
1	59251	63035	
2	61343	63035	
3	61670	63035	
4	61314	63035	
5	63035	63035	
6	63035	63035	
7	63035	63035	
8	63035	63035	
9	63035	63035	
10	63035	63035	
11	63035	63035	
12	63035	63035	
13	63035	63035	
14	63035	63035	
15	63035	63035	
16	63035	63035	
17	63035	63035	
18	63035	63035	
19	63035	63035	
20	63035	63035	
21	63035	63035	
22	63035	63035	
23	63035	63035	
24	63035	63035	
25	63035	63035	
26	63035	63035	
27	63035	63035	
28	63035	63035	
29	63035	63035	
30	63035	63035	
31	63035	63035	
32	63035	63035	
33	63035	63035	
34	63035	63035	
35	63035	63035	
36	63035	63035	
37	63035	63035	
38	63035	63035	
39	63035	63035	
40	63035	63035	
41	63035	63035	
42	63035	63035	
43	63035	63035	
44	63035	63035	
45	63035	63035	
46	63035	63035	
47	63035	63035	
48	63035	63035	
49	63035	63035	
50	63035	63035	
51	63035	63035	
52	63035	63035	
53	63035	63035	
54	63035	63035	
55	63035	63035	
56	63035	63035	
57	63035	63035	
58	63035	63035	
59	63035	63035	
60	63035	63035	
61	63035	63035	
62	63035	63035	
63	63035	63035	
64	63035	63035	
65	63035	63035	
66	63035	63035	
67	63035	63035	
68	63035	63035	
69	63035	63035	
70	63035	63035	
71	63035	63035	
72	63035	63035	
73	63035	63035	
74	63035	63035	
75	63035	63035	
76	63035	63035	
77	63035	63035	
78	63035	63035	
79	63035	63035	
80	63035	63035	
81	63035	63035	
82	63035	63035	
83	63035	63035	
84	63035	63035	
85	63035	63035	
86	63035	63035	
87	63035	63035	
88	63035	63035	
89	63035	63035	
90	63035	63035	
91	63035	63035	
92	63035	63035	
93	63035	63035	
94	63035	63035	
95	63035	63035	
96	63035	63035	
97	63035	63035	
98	63035	63035	
99	63035	63035	
100	63035	63035	
101	63035	63035	
102	63035	63035	
103	63035	63035	
104	63035	63035	
105	63035	63035	
106	63035	63035	
107	63035	63035	
108	63035	63035	
109	63035	63035	
110	63035	63035	
111	63035	63035	
112	63035	63035	
113	63035	63035	
114	63035	63035	
115	63035	63035	
116	63035	63035	
117	63035	63035	
118	63035	63035	
119	63035	63035	
120	63035	63035	
121	63035	63035	
122	63035	63035	
123	63035	63035	
124	63035	63035	
125	63035	63035	
126	63035	63035	
127	63035	63035	
128	63035	63035	
129	63035	63035	
130	63035	63035	
131	63035	63035	
132	63035	63035	
133	63035	63035	
134	63035	63035	
135	63035	63035	
136	63035	63035	
137	63035	63035	
138	63035	63035	
139	63035	63035	
140	63035	63035	
141	63035	63035	
142	63035	63035	
143	63035	63035	
144	63035	63035	
145	63035	63035	
146	63035	63035	
147	63035	63035	
148	63035	63035	
149	63035	63035	
150	63035	63035	
151	63035	63035	
152	63035	63035	
153	63035	63035	
154	63035	63035	
155	63035	63035	
156	63035	63035	
157	63035	63035	
158	63035	63035	
159	63035	63035	
160	63035	63035	
161	63035	63035	
162	63035	63035	
163	63035	63035	
164	63035	63035	
165	63035	63035	
166	63035	63035	
167	63035	63035	
168	63035	63035	
169	63035	63035	
170	63035	63035	
171	63035	63035	
172	63035	63035	
173	63035	63035	
174	63035	63035	
175	63035	63035	
176	63035	63035	
177	63035	63035	
178	63035	63035	
179	63035	63035	
180	63035	63035	
181	63035	63035	
182	63035	63035	
183	63035	63035	
184	63035	63035	
185	63035	63035	
186	63035	63035	
187	63035	63035	
188	63035	63035	
189	63035	63035	
190	63035	63035	
191	63035	63035	
192	63035	63035	
193	63035	63035	
194	63035	63035	
195	63035	63035	
196	63035	63035	
197	63035	63035	
198	63035	63035	
199	63035	63035	
200	63035	63035	
201	63035	63035	
202	63035	63035	
203	63035	63035	
204	63035	63035	
205	63035	63035	
206	63035	63035	
207	63035	63035	
208	63035	63035	
209	63035	63035	
210	63035	63035	
211	63035	63035	
212	63035	63035	
213	63035	63035	
214	63035	63035	
215	63035	63035	
216	63035	63035	
217	63035	63035	
218	63035	63035	
219	63035	63035	
220	63035	63035	
221	63035	63035	
222	63035	63035	
223	63035	63035	
224	63035	63035	
225	63035	63035	
226	63035	63035	
227	63035	63035	
228	63035	63035	
229	63035	63035	
230	63035	63035	
231	63035	63035	
232	63035	63035	
233	63035	63035	
234	63035	63035	
235	63035	63035	
236	63035	63035	
237	63035	63035	
238	63035	63035	
239	63035	63035	
240	63035	63035	
241	63035	63035	
242	63035	63035	
243	63035	63035	
244	63035	63035	
245	63035	63035	
246	63035	63035	
247	63035	63035	
248	63035	63035	
249	63035	63035	
250	63035	63035	
251	63035	63035	
252	63035	63035	
253	63035	63035	
254	63035	63035	
255	63035	63035	
256	63035	63035	
257	63035	63035	
258	63035	63035	
259	63035	63035	
260	63035	63035	
261	63035	63035	
262	63035	63035	
263	63035	63035	
264	63035	63035	
265	63035	63035	
266	63035	63035	
267	63035	63035	
268	63035	63035	
269	63035	63035	
270	63035	63035	
271	63035	63035	
272	63035	63035	
273	63035	63035	
274	63035	63035	
275	63035	63035	
276	63035	63035	
277	63035	63035	
278	63035	63035	
279	63035	63035	
280	63035	63035	
281	63035	63035	
282	63035	63035	
283	63035	63035	
284	63035	63035	
285	63035	63035	
286	63035	63035	
287	63035	63035	
288	63035	63035	
289	63035	63035	
290	63035	63035	
291	63035	63035	
292	63035	63035	
293	63035	63035	
294	63035	63035	
295	63035	63035	
296	63035	63035	
297	63035	63035	
298	63035	63035	
299	63035	63035	
300	63035	63035	
301	63035	63035	
302	63035	63035	
303	63035	63035	
304	63035	63035	
305	63035	63035	
306	63035	63035	
307	63035	63035	
308	63035	63035	
309	63035	63035	
310	63035	63035	
311	63035	63035	
312	63035	63035	
313	63035	63035	
314	63035	63035	
315	63035	63035	
316	63035	63035	
317	63035	63035	
318	63035	63035	
319	63035	63035	
320	63035	63035	
321	63035	63035	
322	63035	63035	
323	63035	63035	
324	63035	63035	
325	63035	63035	
326	63035	63035	
327	63035	63035	
328	63035	63035	
329	63035	63035	
330	63035	63035	
331	63035	63035	
332	63035	63035	
333	63035	63035	
334	63035	63035	
335	63035	63035	
336	63035	63035	
337	63035	63035	
338	63035	63035	
339	63035	63035	
340	63035	63035	
341	63035	63035	
342	63035	63035	
343	63035	63035	
344	63035	63035	
345	63035	63035	
346	63035	63035	
347	63035	63035	
348	63035	63035	
349	63035	63035	
350	63035	63035	
351	63035	63035	
352	63035	63035	
353	63035	63035	
354	63035	63035	
355	63035	63035	
356	63035	63035	
357	63035	63035	
358	63035	63035	
359	63035	63035	
360	63035	63035	
361	63035	63035	
362	63035	63035	
363	63035	63035	
364	63035	63035	
365	63035	63035	
366	63035	63035	
367	63035	63035	
368	63035	63035	
369	63035	63035	
370	63035	63035	
371	63035	63035	
372	63035	63035	
373	63035	63035	
374	63035	63035	
375	63035	63035	
376	63035	63035	
377	63035	63035	
378	63035	63035	
379	63035	63035	
380	63035	63035	
381	63035	63035	
382	63035	63035	
383	63035	63035	
384	63035	63035	
385	63035	63035	
386	63035	63035	
387	63035	63035	
388	63035	63035	
389	63035	63035	
390	63035	63035	
391	63035	63035	
392	63035	63035	
393	63035	63035	
394	63035	63035	
395	63035	63035	
396	63035	63035	
397	63035	63035	
398	63035	63035	
399	63035	63035	
400	63035	63035	
401	63035	63035	
402	63035	63035	
403	63035	63035	
404	63035	63035	
405	63035	63035	
406	63035	63035	
407	63035	63035	
408	63035	63035	
409	63035	63035	
410	63035	63035	
411	63035	63035	
412	63035	63035	
413	63035	63035	
414	63035	63035	
415	63035	63035	
416	63035	63035	
417	63035	63035	
418	63035	63035	
419	63035	63035	
420	63035	63035	
Column 5: 420
Column 6: 420
