jeu_100_25_4.txt_3_currentACO	jeu_100_25_4.txt_3_bestACO	
0	20424	20424	
1	19960	20424	
2	19802	20424	
3	17921	20424	
4	19329	20424	
5	20424	20424	
6	20424	20424	
7	20420	20424	
8	20644	20644	
9	20424	20644	
10	20254	20644	
11	20953	20953	
12	20680	20953	
13	20644	20953	
14	20870	20953	
15	20758	20953	
16	20941	20953	
17	20461	20953	
18	20644	20953	
19	20564	20953	
20	21049	21049	
21	20818	21049	
22	20797	21049	
23	20645	21049	
24	20953	21049	
25	21049	21049	
26	21049	21049	
27	20880	21049	
28	20724	21049	
29	20953	21049	
30	21049	21049	
31	20941	21049	
32	21140	21140	
33	21140	21140	
34	21049	21140	
35	21085	21140	
36	20632	21140	
37	20644	21140	
38	21181	21181	
39	20941	21181	
40	21181	21181	
41	20929	21181	
42	21061	21181	
43	20936	21181	
44	21049	21181	
45	20866	21181	
46	20807	21181	
47	20727	21181	
48	20984	21181	
49	20919	21181	
50	20847	21181	
51	21181	21181	
52	20701	21181	
53	21181	21181	
54	21073	21181	
55	20918	21181	
56	21181	21181	
57	21181	21181	
58	21224	21224	
59	21073	21224	
60	20984	21224	
61	21181	21224	
62	20866	21224	
63	21224	21224	
64	21037	21224	
65	21085	21224	
66	21224	21224	
67	20375	21224	
68	21224	21224	
69	21085	21224	
70	21061	21224	
71	21224	21224	
72	21176	21224	
73	21224	21224	
74	21224	21224	
75	21224	21224	
76	21224	21224	
77	21224	21224	
78	21224	21224	
79	21224	21224	
80	21116	21224	
81	21140	21224	
82	21224	21224	
83	20807	21224	
84	21224	21224	
85	21224	21224	
86	21224	21224	
87	20977	21224	
88	20966	21224	
89	21063	21224	
90	21224	21224	
91	21224	21224	
92	20918	21224	
93	21224	21224	
94	21224	21224	
95	20918	21224	
96	20918	21224	
97	21224	21224	
98	20721	21224	
99	21224	21224	
100	20866	21224	
101	21224	21224	
102	21224	21224	
103	20979	21224	
104	21176	21224	
105	20918	21224	
106	21143	21224	
107	21224	21224	
108	20896	21224	
109	21116	21224	
110	20966	21224	
111	21224	21224	
112	21224	21224	
113	20896	21224	
114	21224	21224	
115	20918	21224	
116	20762	21224	
117	21224	21224	
118	21224	21224	
119	21224	21224	
120	21224	21224	
121	21224	21224	
122	21224	21224	
123	21181	21224	
124	21224	21224	
125	21224	21224	
126	21224	21224	
127	21224	21224	
128	20929	21224	
129	21224	21224	
130	21224	21224	
131	20866	21224	
132	21224	21224	
133	20965	21224	
134	21061	21224	
135	21224	21224	
136	20866	21224	
137	21224	21224	
138	21224	21224	
139	21224	21224	
140	21176	21224	
141	21224	21224	
142	21224	21224	
143	21224	21224	
144	21224	21224	
145	21224	21224	
146	21224	21224	
147	21224	21224	
148	21224	21224	
149	21224	21224	
150	21224	21224	
151	21224	21224	
152	21224	21224	
153	21224	21224	
154	21224	21224	
155	21224	21224	
156	21224	21224	
157	20918	21224	
158	21224	21224	
159	21224	21224	
160	21049	21224	
161	21224	21224	
162	21224	21224	
163	21224	21224	
164	21224	21224	
165	21224	21224	
166	21224	21224	
167	21224	21224	
168	21224	21224	
169	21176	21224	
170	21224	21224	
171	20934	21224	
172	20946	21224	
173	21224	21224	
174	21224	21224	
175	21224	21224	
176	21224	21224	
177	21224	21224	
178	21224	21224	
179	21224	21224	
180	21224	21224	
181	21224	21224	
182	21224	21224	
183	21224	21224	
184	21224	21224	
185	21224	21224	
186	21224	21224	
187	21224	21224	
188	21224	21224	
189	21224	21224	
190	21224	21224	
191	21085	21224	
192	21224	21224	
193	21224	21224	
194	21224	21224	
195	21224	21224	
196	21224	21224	
197	21224	21224	
198	21224	21224	
199	20896	21224	
200	21224	21224	
201	20946	21224	
202	20965	21224	
203	21224	21224	
204	21224	21224	
205	21224	21224	
206	21224	21224	
207	21224	21224	
208	21224	21224	
209	20890	21224	
210	21224	21224	
211	21224	21224	
212	21224	21224	
213	21224	21224	
214	21224	21224	
215	20984	21224	
216	21224	21224	
217	21224	21224	
218	21224	21224	
219	20896	21224	
220	20966	21224	
221	21224	21224	
222	21224	21224	
223	21224	21224	
224	21224	21224	
225	21224	21224	
226	21176	21224	
227	21224	21224	
228	21224	21224	
229	21224	21224	
230	20918	21224	
231	21224	21224	
232	21224	21224	
233	21224	21224	
234	21224	21224	
235	20807	21224	
236	21224	21224	
237	21224	21224	
238	21224	21224	
239	21224	21224	
240	21085	21224	
241	21224	21224	
242	20896	21224	
243	21224	21224	
244	20979	21224	
245	21224	21224	
246	21224	21224	
247	21224	21224	
248	21224	21224	
249	21224	21224	
250	21224	21224	
251	21224	21224	
252	21224	21224	
253	21224	21224	
254	21224	21224	
255	21224	21224	
256	21224	21224	
257	21224	21224	
258	20785	21224	
259	21116	21224	
260	21224	21224	
261	21224	21224	
262	20890	21224	
263	21224	21224	
264	21224	21224	
265	21224	21224	
266	21014	21224	
267	21224	21224	
268	21224	21224	
269	21224	21224	
270	21224	21224	
271	21224	21224	
272	21224	21224	
273	21224	21224	
274	21224	21224	
275	21224	21224	
276	20858	21224	
277	21224	21224	
278	21224	21224	
279	21176	21224	
280	20919	21224	
281	21224	21224	
282	21224	21224	
283	21224	21224	
284	21224	21224	
285	21224	21224	
286	21224	21224	
287	20896	21224	
288	21224	21224	
289	21224	21224	
290	21224	21224	
291	21224	21224	
292	21224	21224	
293	21181	21224	
294	21224	21224	
295	21224	21224	
296	21224	21224	
297	21224	21224	
298	21224	21224	
299	21224	21224	
300	21224	21224	
301	21224	21224	
302	21224	21224	
303	21224	21224	
304	21224	21224	
305	21224	21224	
306	21224	21224	
307	21224	21224	
308	21224	21224	
309	21224	21224	
310	21224	21224	
311	21224	21224	
312	21224	21224	
313	21224	21224	
314	21224	21224	
315	21224	21224	
316	21224	21224	
317	21224	21224	
318	21224	21224	
319	21224	21224	
320	21224	21224	
321	21224	21224	
322	21224	21224	
323	21224	21224	
324	21224	21224	
325	21224	21224	
326	21224	21224	
327	21224	21224	
328	21224	21224	
329	21224	21224	
330	21224	21224	
331	21224	21224	
332	21224	21224	
333	21224	21224	
334	21224	21224	
335	21224	21224	
336	21176	21224	
337	21224	21224	
338	21224	21224	
339	21224	21224	
340	21224	21224	
341	21224	21224	
342	21224	21224	
343	21224	21224	
344	21224	21224	
345	21224	21224	
346	21224	21224	
347	20984	21224	
348	21224	21224	
349	21224	21224	
350	21224	21224	
351	21224	21224	
352	21224	21224	
353	21224	21224	
354	21224	21224	
355	21224	21224	
356	21224	21224	
357	21224	21224	
358	21224	21224	
359	21224	21224	
360	21224	21224	
361	20918	21224	
362	21224	21224	
363	21224	21224	
364	21224	21224	
365	21224	21224	
366	21224	21224	
367	21224	21224	
368	20785	21224	
369	21224	21224	
370	21224	21224	
371	21176	21224	
372	21224	21224	
373	21224	21224	
374	21224	21224	
375	21224	21224	
376	21224	21224	
377	21224	21224	
378	21143	21224	
379	21224	21224	
380	21224	21224	
381	21224	21224	
382	21224	21224	
383	21224	21224	
384	21224	21224	
385	21224	21224	
386	21224	21224	
387	21176	21224	
388	21224	21224	
389	21224	21224	
390	21224	21224	
391	21116	21224	
392	21176	21224	
